"decimalLongitude","decimalLatitude","moca","code"
-80.0081176758,19.7091827393,1,"OBIS1"
-79.4222869873,21.0644664764,1,"OBIS2"
-67.078742981,17.9362697601,1,"OBIS3"
-64.5944671631,17.7798404694,1,"OBIS4"
-77.3212661743,18.4701328278,1,"OBIS5"
-82.9202728271,24.6206302643,1,"OBIS6"
-64.7338867188,18.3010692596,1,"OBIS7"
-78.8781661987,9.48851680756,1,"OBIS8"
-87.822769165,17.5483837128,1,"OBIS9"
-67.0258865356,17.9022293091,1,"OBIS10"
-62.9781684875,17.4634990692,1,"OBIS11"
-64.9907302856,18.3178672791,1,"OBIS12"
-67.0299606323,17.9191608429,1,"OBIS13"
-88.1399993896,16.7600002289,1,"OBIS14"
-64.6326828003,17.8106899261,1,"OBIS15"
-64.5825881958,17.7849006653,1,"OBIS16"
-64.7694473267,18.3152999878,1,"OBIS17"
-72.1166687012,21.8833332062,1,"OBIS18"
-80.8599472046,24.7235507965,1,"OBIS19"
-87.6050033569,17.2259674072,1,"OBIS20"
-72.4745483398,21.6456508636,1,"OBIS21"
-80.2122192383,23.1552772522,1,"OBIS22"
-77.7448806763,18.5206832886,1,"OBIS23"
-64.7858200073,18.3134498596,1,"OBIS24"
-87.7024993896,18.7169437408,1,"OBIS25"
-78.7280807495,9.48868370056,1,"OBIS26"
-79.8940811157,19.6878509521,1,"OBIS27"
-81.8874130249,24.4756832123,1,"OBIS28"
-64.689163208,18.335149765,1,"OBIS29"
-82.0346984863,9.26045036316,1,"OBIS30"
-67.0817108154,17.9396896362,1,"OBIS31"
-64.6651000977,17.7707691193,1,"OBIS32"
-81.5175857544,22.0958824158,1,"OBIS33"
-66.935043335,17.8984794617,1,"OBIS34"
-64.5666885376,17.7963104248,1,"OBIS35"
-79.9496688843,21.6686496735,1,"OBIS36"
-64.6613998413,18.345199585,1,"OBIS37"
-62.9916648865,17.468000412,1,"OBIS38"
-82.9497833252,24.6304302216,1,"OBIS39"
-81.4165344238,19.385433197,1,"OBIS40"
-64.7629470825,18.3157672882,1,"OBIS41"
-64.5903625488,17.7925605774,1,"OBIS42"
-87.4527740479,19.9750003815,1,"OBIS43"
-80.4755554199,23.2199993134,1,"OBIS44"
-82.8970489502,24.628660202,1,"OBIS45"
-66.9515914917,17.8972797394,1,"OBIS46"
-78.9031982422,9.54065036774,1,"OBIS47"
-64.6039505005,17.7857608795,1,"OBIS48"
-64.610458374,17.7831096649,1,"OBIS49"
-77.7401504517,24.7014694214,1,"OBIS50"
-63.2584991455,17.6163330078,1,"OBIS52"
-71.5104827881,21.4845333099,1,"OBIS53"
-78.311630249,18.3802509308,1,"OBIS54"
-77.3973464966,23.7285003662,1,"OBIS55"
-62.9878349304,17.4643325806,1,"OBIS56"
-64.7555007935,17.7871170044,1,"OBIS57"
-38.7066650391,-17.9624996185,1,"OBIS58"
-80.0696868896,19.6943492889,1,"OBIS59"
-87.5333328247,19.1541671753,1,"OBIS60"
-65.3354492188,18.3124656677,1,"OBIS61"
-77.3809967041,23.7096691132,1,"OBIS62"
-79.6458816528,21.4543170929,1,"OBIS63"
-77.7786331177,24.74518013,1,"OBIS65"
-72.1869812012,21.8140163422,1,"OBIS66"
-79.974319458,19.6937999725,1,"OBIS68"
-80.0898208618,26.1514701843,1,"OBIS69"
-64.6325836182,17.8019504547,1,"OBIS70"
-64.3207702637,18.7493495941,1,"OBIS71"
-62.9776649475,17.4616661072,1,"OBIS72"
-72.2242660522,21.489282608,1,"OBIS73"
-80.126663208,23.1013889313,1,"OBIS75"
-64.6334533691,17.8069992065,1,"OBIS76"
-82.7953567505,24.7262897491,1,"OBIS78"
-87.6080474854,17.2218494415,1,"OBIS79"
-64.7147827148,18.3074893951,1,"OBIS80"
-67.0173492432,17.9635105133,1,"OBIS81"
-76.9831695557,26.6033325195,1,"OBIS82"
-62.9850006104,17.4643325806,1,"OBIS83"
-87.7055587769,18.7083339691,1,"OBIS84"
-87.3065795898,20.3964805603,1,"OBIS85"
-87.5927200317,17.1718673706,1,"OBIS86"
-64.6106262207,17.8055496216,1,"OBIS87"
-80.1024932861,26.012550354,1,"OBIS88"
-77.8790969849,24.8775005341,1,"OBIS89"
-63.232334137,17.4878330231,1,"OBIS90"
-87.6175003052,18.9133338928,1,"OBIS91"
-87.8018798828,16.9100837708,1,"OBIS92"
-79.9578323364,19.7141170502,1,"OBIS93"
-87.528213501,17.2505836487,1,"OBIS94"
-67.1190338135,17.9291992188,1,"OBIS95"
-79.1449966431,22.6547222137,1,"OBIS97"
-87.9400024414,17.9200000763,1,"OBIS98"
-78.94626617,9.551016808,1,"OBIS99"
-64.5823516846,18.4746170044,1,"OBIS100"
-78.4653320312,20.5869674683,1,"OBIS101"
-87.8268203735,18.239200592,1,"OBIS103"
-64.7000427246,18.3371391296,1,"OBIS104"
-80.7542648315,24.7659664154,1,"OBIS107"
-67.1011734009,17.9315299988,1,"OBIS108"
-82.8870620728,24.6680793762,1,"OBIS109"
-93.8147201538,27.8766498566,1,"OBIS110"
-78.444442749,22.5636119843,1,"OBIS112"
-81.1113128662,24.6255836487,1,"OBIS113"
-80.9019470215,23.2924995422,1,"OBIS114"
-96.1269454956,19.231388092,1,"OBIS115"
-72.4701843262,21.6648330688,1,"OBIS116"
-64.5948867798,17.8016300201,1,"OBIS117"
-64.5658416748,17.7626304626,1,"OBIS118"
-79.0952835083,20.8982162476,1,"OBIS120"
-81.5066146851,22.0360164642,1,"OBIS121"
-78.1318817139,18.4641666412,1,"OBIS124"
-81.2915496826,19.3803005219,1,"OBIS125"
-77.6477966309,24.3011207581,1,"OBIS126"
-64.5933074951,17.7686805725,1,"OBIS127"
-87.623336792,18.9022216797,1,"OBIS128"
-78.8781662,9.488516808,1,"OBIS129"
-87.4477767944,19.8250007629,1,"OBIS132"
-77.6462020874,24.2916698456,1,"OBIS135"
-71.1681365967,21.3943004608,1,"OBIS136"
-62.9824981689,17.4640007019,1,"OBIS137"
-72.1152648926,21.9063491821,1,"OBIS138"
-63.2594985962,17.6281661987,1,"OBIS139"
-67.1284103394,17.9167308807,1,"OBIS140"
-64.7509994507,18.3731403351,1,"OBIS141"
-64.6490325928,17.7796401978,1,"OBIS142"
-64.7750473022,18.3629894257,1,"OBIS143"
-69.1582794189,12.3753614426,1,"OBIS144"
-63.2531661987,17.6433334351,1,"OBIS145"
-78.9312973022,9.4767999649,1,"OBIS146"
-77.6965026855,24.4833297729,1,"OBIS148"
-63.2316665649,17.4868335724,1,"OBIS149"
-93.8191299438,27.874080658,1,"OBIS151"
-81.3910980225,24.6165504456,1,"OBIS153"
-80.1121368408,19.661699295,1,"OBIS154"
-76.9779968262,26.3535003662,1,"OBIS156"
-64.5756835938,17.7942695618,1,"OBIS158"
-81.7023162842,24.4993839264,1,"OBIS160"
-71.4558029175,21.5460338593,1,"OBIS162"
-64.6447067261,17.7806091309,1,"OBIS163"
-66.9903106689,17.8982791901,1,"OBIS165"
-81.5596466064,24.5138664246,1,"OBIS166"
-67.0804595947,17.937379837,1,"OBIS167"
-66.9719467163,17.9266605377,1,"OBIS169"
-87.5369415283,19.1375007629,1,"OBIS170"
-81.0765991211,19.333366394,1,"OBIS171"
-64.9859466553,18.344499588,1,"OBIS172"
-80.0688323975,19.6918334961,1,"OBIS174"
-77.6910018921,24.6306667328,1,"OBIS176"
-79.701385498,22.9150009155,1,"OBIS177"
-38.422,-13.054,1,"OBIS178"
-38.659722,-17.980833,1,"OBIS179"
-88.0433349609,17.2759838104,1,"OBIS180"
-83.0335006714,12.0301198959,1,"OBIS181"
-84.5182342529,21.7878341675,1,"OBIS182"
-64.665397644,17.769859314,1,"OBIS183"
-62.986000061,17.4648342133,1,"OBIS185"
-79.3630523682,22.7202777863,1,"OBIS187"
-63.2150001526,17.6308326721,1,"OBIS188"
-66.9377822876,17.9185390472,1,"OBIS189"
-77.6706771851,24.3431491852,1,"OBIS190"
-78.6576843262,20.6441669464,1,"OBIS191"
-82.9517822266,24.6091308594,1,"OBIS192"
-64.7702331543,18.3130893707,1,"OBIS195"
-64.6542205811,17.7672195435,1,"OBIS196"
-71.1550140381,21.4582157135,1,"OBIS197"
-93.596282959,27.9081897736,1,"OBIS198"
-64.5796585083,17.7831306458,1,"OBIS199"
-64.7229614258,18.3676395416,1,"OBIS200"
-64.6997833252,18.3160991669,1,"OBIS201"
-66.8476333618,11.7355661392,1,"OBIS202"
-78.0125808716,18.4577827454,1,"OBIS203"
-64.6914978027,17.7686328888,1,"OBIS204"
-81.4756317139,21.9878673553,1,"OBIS205"
-67.0870132446,17.9020309448,1,"OBIS207"
-77.8076705933,24.751329422,1,"OBIS208"
-80.0962905884,26.1015796661,1,"OBIS209"
-77.6969680786,24.5064296722,1,"OBIS211"
-64.576751709,17.7885398865,1,"OBIS212"
-87.4343032837,18.5258998871,1,"OBIS214"
-88.0599975586,16.8099994659,1,"OBIS215"
-62.9776649475,17.4624996185,1,"OBIS216"
-64.568397522,17.7632293701,1,"OBIS218"
-87.5989303589,17.1384162903,1,"OBIS221"
-38.6951675415,-17.9815006256,1,"OBIS222"
-77.5333480835,24.0997200012,1,"OBIS225"
-82.13244629,9.251233101,1,"OBIS227"
-66.8994064331,17.9160995483,1,"OBIS228"
-87.8871154785,16.7269001007,1,"OBIS229"
-93.8184127808,27.8736190796,1,"OBIS230"
-64.2314987183,18.6660823822,1,"OBIS231"
-81.393081665,24.5645999908,1,"OBIS232"
-80.0892562866,26.1570205688,1,"OBIS233"
-69.1650009155,12.3185825348,1,"OBIS235"
-72.1835021973,21.8180007935,1,"OBIS236"
-64.6915206909,18.3157901764,1,"OBIS239"
-66.9840393066,17.9162406921,1,"OBIS240"
-81.0202865601,24.6933670044,1,"OBIS243"
-62.984664917,17.4633331299,1,"OBIS244"
-67.0277481079,17.9196395874,1,"OBIS247"
-67.0670318604,17.9348201752,1,"OBIS248"
-81.3910522461,19.2861995697,1,"OBIS250"
-83.0821990967,12.1769504547,1,"OBIS251"
-93.816368103,27.8753604889,1,"OBIS252"
-87.9499969482,17.9200000763,1,"OBIS254"
-64.6341018677,17.799489975,1,"OBIS256"
-81.4051513672,24.5460739136,1,"OBIS259"
-81.5103530884,22.0208835602,1,"OBIS260"
-80.0229034424,19.8305168152,1,"OBIS261"
-83.0346984863,12.1885700226,1,"OBIS263"
-65.33253479,18.3286495209,1,"OBIS265"
-38.7018318176,-17.9599990845,1,"OBIS266"
-76.6897964478,18.2696342468,1,"OBIS268"
-67.0745697021,17.9554100037,1,"OBIS269"
-38.6673316956,-17.9833335876,1,"OBIS271"
-82.9428482056,24.612909317,1,"OBIS272"
-66.991317749,17.9019298553,1,"OBIS273"
-81.7015991211,24.5519332886,1,"OBIS274"
-80.1019897461,26.0085506439,1,"OBIS275"
-67.0129623413,17.9352893829,1,"OBIS277"
-67.1078262329,17.9276199341,1,"OBIS278"
-79.9820175171,19.7166004181,1,"OBIS279"
-72.173248291,21.8301506042,1,"OBIS281"
-87.8333282471,18.2333335876,1,"OBIS284"
-80.0689468384,19.693983078,1,"OBIS285"
-82.8734664917,24.6658000946,1,"OBIS287"
-83.073097229,12.2013702393,1,"OBIS291"
-93.8181304932,27.8733901978,1,"OBIS293"
-67.0651931763,17.9036407471,1,"OBIS294"
-64.7640838623,18.3141670227,1,"OBIS297"
-64.7664108276,18.3603992462,1,"OBIS300"
-77.8573303223,24.8438339233,1,"OBIS301"
-67.0747070312,17.9369697571,1,"OBIS302"
-67.1005706787,17.9260406494,1,"OBIS303"
-64.726600647,18.3138504028,1,"OBIS304"
-87.4594421387,20.1058330536,1,"OBIS306"
-87.5988922119,18.7233333588,1,"OBIS307"
-64.5683822632,17.7950401306,1,"OBIS308"
-80.5877761841,23.2422218323,1,"OBIS309"
-78.94544983,9.554550171,1,"OBIS310"
-64.6019363403,17.8038597107,1,"OBIS311"
-79.8874816895,19.6798667908,1,"OBIS313"
-66.9753265381,17.944770813,1,"OBIS314"
-64.5758972168,17.7826690674,1,"OBIS315"
-77.6961669922,24.439250946,1,"OBIS316"
-35.704,-20.704,1,"OBIS320"
-66.9233779907,17.9013500214,1,"OBIS321"
-64.5773468018,17.7908706665,1,"OBIS322"
-64.5810928345,17.7835407257,1,"OBIS323"
-76.9768295288,26.3575000763,1,"OBIS324"
