"decimalLongitude","decimalLatitude","side","code"
-64.6327972412,17.7929992676,1,"OBIS1"
-67.013671875,17.9505901337,1,"OBIS2"
-64.6758270264,18.3239307404,1,"OBIS3"
-64.6297988892,17.7919197083,1,"OBIS4"
-82.8053359985,9.72500038147,1,"OBIS5"
-64.6218338013,17.7899608612,1,"OBIS6"
-64.7340316772,18.3703193665,1,"OBIS7"
-64.7686233521,18.3614292145,1,"OBIS8"
-77.5611190796,18.4949836731,1,"OBIS9"
-82.9693984985,12.2915296555,1,"OBIS10"
-64.6187973022,17.7626800537,1,"OBIS11"
-67.0156936646,17.9006690979,1,"OBIS12"
-67.0045471191,17.9066295624,1,"OBIS13"
-64.6003723145,17.8012599945,1,"OBIS14"
-64.7731399536,18.3526592255,1,"OBIS15"
-77.2747344971,18.4727668762,1,"OBIS16"
-64.6253967285,17.7944297791,1,"OBIS17"
-64.568107605,17.7720508575,1,"OBIS18"
-66.9329528809,17.9186592102,1,"OBIS19"
-64.6334381104,17.8026695251,1,"OBIS20"
-71.9819869995,12.1881713867,1,"OBIS21"
-64.6094284058,17.786939621,1,"OBIS22"
-82.805336,9.725000381,1,"OBIS23"
-67.0552062988,17.9210796356,1,"OBIS24"
-64.6781082153,18.3329296112,1,"OBIS25"
-66.9786529541,17.931350708,1,"OBIS26"
-67.009727478,17.9265804291,1,"OBIS27"
-93.6013183594,27.9063606262,1,"OBIS28"
-66.962272644,17.8993091583,1,"OBIS29"
-64.5796585083,17.7831306458,1,"OBIS30"
-82.9693984985,12.2954597473,1,"OBIS31"
-64.610206604,17.7871608734,1,"OBIS33"
-64.565788269,17.7725391388,1,"OBIS34"
-64.6275024414,17.7961406708,1,"OBIS35"
-64.6404724121,17.7597808838,1,"OBIS36"
-64.5789031982,17.7644691467,1,"OBIS37"
-64.6221237183,17.8052196503,1,"OBIS38"
-67.0215911865,17.8874397278,1,"OBIS39"
-64.7410202026,18.3081703186,1,"OBIS40"
-64.60912323,17.7874603271,1,"OBIS41"
-76.7086868286,18.2745342255,1,"OBIS42"
-64.6336364746,17.76404953,1,"OBIS43"
-78.0753479004,18.4590835571,1,"OBIS44"
-64.6311035156,17.8050193787,1,"OBIS45"
-63.2594985962,17.6281661987,1,"OBIS46"
-38.988333,-18.020278,1,"OBIS47"
-82.8058319092,9.75,1,"OBIS48"
-64.6178665161,17.7907505035,1,"OBIS49"
-38.601389,-17.721389,1,"OBIS50"
-82.80583191,9.75,1,"OBIS52"
-66.7577819824,17.9666690826,1,"OBIS53"
-87.2991027832,20.4076499939,1,"OBIS54"
-67.0112686157,17.9013004303,1,"OBIS55"
-64.5761871338,17.7932395935,1,"OBIS56"
-38.966389,-17.682222,1,"OBIS57"
-87.3029785156,20.4021892548,1,"OBIS58"
