decimalLongitude;decimalLatitude
-61.7626;12.085
-61.7585;12.09176667
-61.78356667;12.02805
-61.76798333;12.03948333
-61.48388889;12.48549167
-61.49204167;12.48402778
-61.46780833;12.49618056
-61.49991667;12.44559167
-61.48388889;12.48549167
-61.49204167;12.48402778
-61.46780833;12.49618056
-38.26933333;-3.5455
-86.86666667;20.83333333
-76.10142778;23.78334167
-80.01683333;26.703
-76.10142778;23.78334167
-80.05692778;19.70204444
-63.5;17.41666667
-38.54916667;-12.83694444
-38.64194444;-13.12944444
-80.0695;19.6945
-80.057;19.7
-64.64147222;32.35813889
-64.65780556;32.34122222
-64.67125;32.33269444
-64.71483333;32.31175
-64.73780556;32.30019444
-64.75725;32.28569444
-64.60147222;32.36611111
-64.62977778;32.34155556
-64.66138889;32.31911111
-64.70963889;32.30102778
-64.73025;32.29347222
-64.74427778;32.27708333
-67.05321667;17.95491667
-67.07771667;17.9432
-38.544438;-12.999163
-80.0915;26.19305556
-80.6;24.85
-81.26666667;19.3
-76.08333333;23.76666667
-34.81027778;-6.701388889
-34.809479;-7.126131
-80.05;19.68333333
-76.1;23.78333333
-74.66666667;24
-80.08975;25.7155
-80.09988333;25.72528333
-80.09893333;25.8116
-80.0889;25.94501667
-80.10046667;25.95948333
-39.16666667;-16.66666667
-37.33333333;-19.66666667
-39.05083333;-17.77583333
-38.92033333;-17.90083333
-38.96533333;-17.68366667
-80.05;19.68333333
-64.91900833;32.35713611
-64.75435;32.38003611
-64.66351944;32.33925833
-64.82269444;32.47082778
-64.78284722;32.31273333
-64.70220278;32.42399722
-64.71483611;32.36614167
-64.80263333;32.25011944
-64.696675;32.48298889
-59.65061111;13.28051111
-59.63655;13.11975556
-59.64154444;13.19196944
-59.64592778;13.22104167
-59.61210278;13.07615833
-93.81425;27.87536111
-93.81502778;27.87641667
-93.81677778;27.87430556
-93.59927778;27.9075
-93.59877778;27.91108333
-82.21013889;9.330741667
-82.21834444;9.322147222
-82.25476389;9.281680556
-82.12205556;9.263372222
-82.26018889;9.34095
-77.41810556;18.4745
-77.41033056;18.47333889
-77.45690556;18.48298611
-77.38777778;18.46725
-77.41458889;18.46746944
-81.39916667;13.3985
-75.02018333;18.06333333
-75.02018333;18.39666667
-75.02511667;18.40551667
-75.02976667;18.41375
-75.01343333;18.41366667
-64.70527778;32.42519444
-76.09166667;23.775
-61.53916667;16.46469444
-80.6158;24.8971
-80.72761667;24.83595
-38.4;-3.566666667
-67.0696;17.95736667
-67.03688333;17.9443
-67.04885;17.93488333
-67.01883333;17.93495
-66.98866667;17.89048333
-67.04298333;17.87716667
-87.68333333;18.71666667
-38.0185;-12.375
-38.3;-12.46866667
-38.440384;-13.012758
-38.885881;-13.219297
-38.9015;-14
-38.9515;-16.23716667
-39.08783333;-16.89183333
-38.76933333;-17.45966667
-39.00566667;-18.01883333
-96.09222222;19.17388889
-73.95;11.2
-74.25;11.36666667
-93.58333333;27.98333333
-64.75;32.33333333
-80.3;25.11666667
-76.09166667;23.775
-80.29285;25.14735
-80.30048333;25.11843333
-66.545;11.74055556
-66.95722222;11.97666667
-76.09166667;23.775
-76.08333333;23.76666667
-96.09833333;19.22638889
-76;23
-74.21666667;11.25
-82.8615;24.62483333
-82.93483333;24.64316667
-67.31666667;18.16666667
-29.345676;-20.524891
-68.97311944;12.124625
-80.00159858;26.00247642
-80.50207;24.9465
-80.41387;25.013683
-80.4614;24.951117
-80.45792;25.009433
-80.36823;25.017867
-80.56272;24.938983
-80.54952;24.934133
-80.39623;25.02185
-80.45603;24.957583
-80.38757;25.004233
-80.45687;24.946533
-80.43075;24.97095
-80.45243;24.958067
-80.37987;25.004133
-81.7302;24.478483
-81.74268;24.474167
-81.82217;24.468767
-81.54315;24.515817
-81.54248;24.513817
-81.58197;24.504217
-82.87133;24.610783
-82.78715;24.72225
-83.10167;24.62875
-64.69243;32.359883
-64.65738;32.336717
-64.65405;32.335417
-64.65423;32.325267
-64.65287;32.325367
-64.65308;32.324617
-64.6661;32.325583
-64.65173;32.325183
-64.6623;32.325317
-65.65172;18.530367
-65.49722;18.464717
-65.12772;18.309817
-88.07389;16.76895
-88.07465;16.77607
-88.07401;16.83244
-88.07389;16.76895
-88.07465;16.77607
-88.07401;16.83244
-93.81655;27.87371
-93.82035;27.8751
-93.82154;27.87337
-93.81737;27.87523
-93.81637;27.87495
-93.8164;27.87582
-93.82033;27.87429
-93.6016;27.9241
-93.59668;27.91102
-93.60139;27.90956
-93.60018;27.91085
-93.60021;27.90987
-93.59804;27.90987
-93.59821;27.9114
-93.30712;27.88467
-93.30174;27.8862
-92.59216;27.96364
-92.59369;27.96235
-92.59266;27.96288
-92.59295;27.96321
-92.59262;27.96299
-83.68648;24.78985
-83.6692;24.80161
-83.66083;24.84967
-83.69743;24.72903
-83.67401;24.79382
-83.6719;24.81798
-83.68283;24.811
-83.68635;24.70933
-83.70258;24.74767
-83.11235;24.64907
-83.10162;24.64877
-83.05375;24.5342
-83.0185;24.53405
-82.96807;24.47279
-93.59821;27.9114
-93.82033;27.87429
-92.59216;27.96364
-29.33333;-20.50000
-68.97312;12.12461
-80.00160;26.00248
-80.60000;24.85000
-81.26667;19.30000
-76.08333;23.76667
-68.97417;12.12528
