"decimalLongitude","decimalLatitude","Montastraea_cavernosa"
-81.73396,12.50236,1
-74.2397,11.20797,1
-74.23642,11.21005,1
-74.20697,11.27335,1
-74.21244,11.25782,1
-74.20697,11.27335,1
-81.871106,12.13791,1
-81.85569,12.17538,1
-81.87111,12.17361,1
-81.83643,12.19953,1
-81.86132,12.19601,1
-81.86055,12.18611,1
-81.83389,12.18638,1
-81.87111,12.17361,1
-81.87111,12.15416,1
-81.85084,12.19444,1
-81.85861,12.14444,1
-81.84806,12.14194,1
-81.84251,12.16514,1
-81.83694,12.14361,1
-81.83389,12.13722,1
-81.87111,12.13777,1
-81.84648,12.16297,1
-81.84389,12.16391,1
-81.86505,12.16788,1
-81.84909,12.15941,1
-81.82613,12.164968,1
-81.871106,12.137949,1
-81.84412,12.15961,1
-81.84763,12.18074,1
-81.84489,12.17144,1
-81.86382,12.17709,1
-81.88745,12.17944,1
-81.87848,12.1764,1
-81.89901,12.160001,1
-81.86388,12.13972,1
-81.85861,12.16886,1
-81.81825,12.1453,1
-81.86003,12.1602,1
-81.8929,12.15267,1
-81.82453,12.14882,1
-80.36544,14.31107,1
-80.28733,14.37482,1
-80.27538,14.3648,1
-80.36983,14.28983,1
-80.19104,14.41114,1
-80.13593,14.39824,1
-80.23627,14.5666,1
-80.13081,14.38544,1
-80.37193,14.35841,1
-87.699237,18.72072,1
-97.276805,21.544444,1
-97.281833,21.548583,1
-96.987928,20.763339,1
-97.275194,21.540389,1
-96.987972,20.763417,1
-96.987928,20.763339,1
-97.275194,21.540389,1
-96.986222,20.760722,1
-97.275194,21.540389,1
-96.986222,20.760722,1
-97.275194,21.540389,1
-97.275194,21.540389,1
-97.275333,21.540556,1
-96.987928,20.763339,1
-97.276805,21.544444,1
-96.986222,20.760722,1
-96.987972,20.763417,1
-97.275194,21.540389,1
-97.276805,21.544444,1
-97.282111,21.549056,1
-96.987928,20.763339,1
-97.276972,21.544694,1
-97.275194,21.540389,1
-97.275194,21.540389,1
-97.281833,21.548583,1
-97.275194,21.540389,1
-96.986222,20.760722,1
-97.275333,21.540556,1
-96.987972,20.763417,1
-96.986222,20.760722,1
-97.282111,21.549056,1
-96.987972,20.763417,1
-96.986222,20.760722,1
-96.987928,20.763339,1
-97.276805,21.544444,1
-96.98925,20.759056,1
-96.988861,20.755778,1
-96.989028,20.760611,1
-96.990861,20.763833,1
-96.995778,20.767,1
-96.992555,20.767,1
-96.993611,20.769028,1
-96.984194,20.760417,1
-96.989028,20.758722,1
-96.99625,20.769194,1
-96.995528,20.766806,1
-96.986444,20.758056,1
-96.99275,20.76725,1
-96.989028,20.758722,1
-96.99275,20.76725,1
-96.990861,20.763833,1
-96.98875,20.760611,1
-96.988861,20.755778,1
-96.993611,20.769028,1
-96.9915,20.764611,1
-96.993444,20.768417,1
-96.989028,20.764778,1
-96.990444,20.758361,1
-96.990444,20.758361,1
-96.990861,20.763833,1
-96.992555,20.767,1
-96.988861,20.755778,1
-96.993611,20.769028,1
-96.99625,20.769194,1
-96.996472,20.769611,1
-96.995528,20.766806,1
-96.989028,20.764778,1
-96.989028,20.764778,1
-96.989028,20.764778,1
-96.995778,20.767,1
-96.989028,20.760611,1
-96.989194,20.765056,1
-96.989028,20.758722,1
-96.992555,20.767,1
-96.988861,20.755778,1
-96.99625,20.769194,1
-96.98925,20.759056,1
-96.994861,20.754667,1
-96.994861,20.754667,1
-96.990028,20.760028,1
-96.988,20.754861,1
-96.985417,20.758167,1
-96.993139,20.765028,1
-96.993139,20.765028,1
-97.254444,21.511556,1
-97.254444,21.511556,1
-97.229755,21.474583,1
-96.988944,20.757361,1
-97.254444,21.511556,1
-97.254444,21.511556,1
-96.994861,20.754667,1
-96.990028,20.760028,1
-96.988361,20.760778,1
-96.994861,20.754667,1
-96.993889,20.765,1
-97.250833,21.50775,1
-96.988944,20.757361,1
-97.254444,21.511556,1
-96.993889,20.765,1
-97.250833,21.50775,1
-96.986417,20.752889,1
-96.988,20.754861,1
-96.9935,20.763306,1
-96.993889,20.765,1
-96.987444,20.760167,1
-97.254444,21.511556,1
-96.993889,20.765,1
-96.990028,20.760028,1
-97.254444,21.511556,1
-96.988944,20.757361,1
-96.988944,20.757361,1
-96.990083,20.767333,1
-96.988944,20.757361,1
-97.229755,21.474583,1
-97.229755,21.474583,1
-96.9935,20.763306,1
-97.254444,21.511556,1
-96.986528,20.753083,1
-96.988,20.754861,1
-97.254444,21.511556,1
-96.990028,20.760028,1
-97.229755,21.474583,1
-97.229755,21.474583,1
-97.254444,21.511556,1
-94.817805,18.542722,1
-94.524917,18.175417,1
-94.526139,18.176,1
-94.525028,18.175806,1
-94.525444,18.175306,1
-94.818555,18.543389,1
-94.807972,18.539333,1
-94.817805,18.542722,1
-94.817805,18.542722,1
-94.524833,18.175333,1
-94.524667,18.175028,1
-94.525583,18.17625,1
-94.52575,18.176306,1
-94.524833,18.175333,1
-94.807972,18.539333,1
-94.807972,18.539333,1
-94.525583,18.17625,1
-94.52475,18.175139,1
-94.818555,18.543389,1
-94.526139,18.176,1
-94.807972,18.539333,1
-94.524,18.174611,1
-94.807972,18.539333,1
-94.526139,18.176,1
-94.524917,18.175417,1
-94.782278,18.512111,1
-94.524917,18.175722,1
-94.525444,18.175306,1
-94.817805,18.542722,1
-94.8085,18.539472,1
-94.817805,18.542722,1
-94.786889,18.515806,1
-94.817805,18.542722,1
-94.524305,18.175556,1
-94.524305,18.175556,1
-94.52425,18.175028,1
-94.524055,18.175083,1
-94.52425,18.175028,1
-94.524139,18.175444,1
-94.52425,18.175028,1
-94.52425,18.175028,1
-94.526,18.17625,1
-94.52425,18.175028,1
-94.524139,18.175611,1
-94.52425,18.175028,1
-94.775583,18.487139,1
-94.782111,18.510194,1
-94.778055,18.496083,1
-94.775861,18.487056,1
-94.7755,18.487333,1
-94.775528,18.486972,1
-94.775583,18.487139,1
-94.778278,18.496417,1
-94.778055,18.496083,1
-94.7755,18.487333,1
-97.282733,21.541039,1
-97.255155,21.515358,1
-97.229005,21.477589,1
-97.284205,21.544231,1
-97.282733,21.541039,1
-97.255155,21.515358,1
-97.255155,21.515358,1
-97.229719,21.473925,1
-97.230683,21.47155,1
-97.229005,21.477589,1
-97.229719,21.473925,1
-97.229108,21.465203,1
-97.229028,21.486158,1
-97.282733,21.541039,1
-97.282733,21.541039,1
-97.229108,21.465203,1
-97.283636,21.547367,1
-97.255155,21.515358,1
-97.282733,21.541039,1
-97.283636,21.547367,1
-97.229028,21.486158,1
-97.229028,21.486158,1
-97.283636,21.547367,1
-97.284205,21.544231,1
-97.283636,21.547367,1
-97.284205,21.544231,1
-97.229108,21.465203,1
-97.254508,21.509636,1
-97.255155,21.515358,1
-97.228722,21.474,1
-97.283636,21.547367,1
-97.229005,21.477589,1
-97.229005,21.477589,1
-97.284205,21.544231,1
-97.283636,21.547367,1
-97.282733,21.541039,1
-97.255155,21.515358,1
-97.255155,21.515358,1
-97.254508,21.509636,1
-97.229108,21.465203,1
-97.284205,21.544231,1
-97.254508,21.509636,1
-97.221305,21.481717,1
-97.216361,21.471972,1
-97.218639,21.481139,1
-97.216361,21.471972,1
-97.228361,21.463889,1
-97.228694,21.481167,1
-97.222694,21.465333,1
-97.222694,21.465333,1
-97.255555,21.513889,1
-66.29939,10.64185,1
-66.06961,10.57733,1
-66.24744,10.6524,1
-66.04982,10.58022,1
-66.06164,10.5805,1
-66.04982,10.58022,1
-66.06164,10.5805,1
-61.869167,12.108889,1
-61.810556,12.1125,1
-61.992222,12.333611,1
-61.786944,12.136667,1
-61.789167,12.201111,1
-61.279722,14.086389,1
-62.869478,17.347669,1
-61.305833,13.933611,1
-61.226389,14.043333,1
-61.317778,13.2525,1
-61.284444,14.112778,1
-61.5975,15.490833,1
-61.469444,15.368889,1
-74.127632,11.328933,1
-74.127632,11.328933,1
-64.39507,10.38036,1
-68.236661,10.83328,1
-64.39507,10.38036,1
-64.39507,10.38036,1
-64.702203,32.423997,1
-61.868611,17.406111,1
-64.34775,10.3891,1
-64.39507,10.38036,1
-64.39507,10.38036,1
-64.34775,10.3891,1
-64.34775,10.3891,1
-64.36745,10.39569,1
-64.39507,10.38036,1
-64.39507,10.38036,1
-64.36745,10.39569,1
-64.36745,10.39569,1
-64.34775,10.3891,1
-64.39507,10.38036,1
-64.34775,10.3891,1
-64.36745,10.39569,1
-64.33796,10.36818,1
-64.34775,10.3891,1
-60.479094,11.297222,1
-64.39507,10.38036,1
-64.39507,10.38036,1
-64.39507,10.38036,1
