"species","decimalLongitude","decimalLatitude","countryCode","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","datasetName","occurrenceStatus"
"Montastraea cavernosa",-81.73396,12.50236,"CO",NA,"2899691408","Montastraeidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","INVEMAR","Biodiversidad de los ecosistemas de coral mesofóticos en San Andrés Islas 2018","PRESENT"
"Montastraea cavernosa",-74.2397,11.20797,"CO",NA,"2147523990","Montastraeidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","MoAm SAS","CORPAMAG-MOAM-CONTRATO260-2017-ARRECIFES-PASTOS-2018","PRESENT"
"Montastraea cavernosa",-74.23642,11.21005,"CO",NA,"2147524107","Montastraeidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","MoAm SAS","CORPAMAG-MOAM-CONTRATO260-2017-ARRECIFES-PASTOS-2018","PRESENT"
"Montastraea cavernosa",-74.20697,11.27335,"CO",NA,"2147524303","Montastraeidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","MoAm SAS","CORPAMAG-MOAM-CONTRATO260-2017-ARRECIFES-PASTOS-2018","PRESENT"
"Montastraea cavernosa",-74.21244,11.25782,"CO",NA,"2147524366","Montastraeidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","MoAm SAS","CORPAMAG-MOAM-CONTRATO260-2017-ARRECIFES-PASTOS-2018","PRESENT"
"Montastraea cavernosa",-74.20697,11.27335,"CO",NA,"2147524608","Montastraeidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","MoAm SAS","CORPAMAG-MOAM-CONTRATO260-2017-ARRECIFES-PASTOS-2018","PRESENT"
"Montastraea cavernosa",-81.871106,12.13791,"CO",2,"2294350350","Montastraeidae","SPECIES",3,2018,"MACHINE_OBSERVATION","Universidad Nacional de Colombia (UNAL)",NA,"PRESENT"
"Montastraea cavernosa",-81.85569,12.17538,"CO",3,"2294350554","Montastraeidae","SPECIES",3,2018,"MACHINE_OBSERVATION","Universidad Nacional de Colombia (UNAL)",NA,"PRESENT"
"Montastraea cavernosa",-81.87111,12.17361,"CO",2,"2294350559","Montastraeidae","SPECIES",3,2018,"MACHINE_OBSERVATION","Universidad Nacional de Colombia (UNAL)",NA,"PRESENT"
"Montastraea cavernosa",-81.83643,12.19953,"CO",2,"2294350565","Montastraeidae","SPECIES",3,2018,"MACHINE_OBSERVATION","Universidad Nacional de Colombia (UNAL)",NA,"PRESENT"
"Montastraea cavernosa",-81.86132,12.19601,"CO",1,"2294350630","Montastraeidae","SPECIES",3,2018,"MACHINE_OBSERVATION","Universidad Nacional de Colombia (UNAL)",NA,"PRESENT"
"Montastraea cavernosa",-81.86055,12.18611,"CO",NA,"2418072930","Montastraeidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","Pontificia Universidad Javeriana Cali (PUJC)",NA,"PRESENT"
"Montastraea cavernosa",-81.83389,12.18638,"CO",NA,"2418072943","Montastraeidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","Pontificia Universidad Javeriana Cali (PUJC)",NA,"PRESENT"
"Montastraea cavernosa",-81.87111,12.17361,"CO",NA,"2418072961","Montastraeidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","Pontificia Universidad Javeriana Cali (PUJC)",NA,"PRESENT"
"Montastraea cavernosa",-81.87111,12.15416,"CO",NA,"2418072965","Montastraeidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","Pontificia Universidad Javeriana Cali (PUJC)",NA,"PRESENT"
"Montastraea cavernosa",-81.85084,12.19444,"CO",NA,"2418072970","Montastraeidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","Pontificia Universidad Javeriana Cali (PUJC)",NA,"PRESENT"
"Montastraea cavernosa",-81.85861,12.14444,"CO",NA,"2418072982","Montastraeidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","Pontificia Universidad Javeriana Cali (PUJC)",NA,"PRESENT"
"Montastraea cavernosa",-81.84806,12.14194,"CO",NA,"2418073018","Montastraeidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","Pontificia Universidad Javeriana Cali (PUJC)",NA,"PRESENT"
