"decimalLongitude","decimalLatitude","Montastraea_cavernosa"
-80.0081176758,19.7091827393,"1"
-79.4222869873,21.0644664764,"1"
-67.078742981,17.9362697601,"1"
-64.5944671631,17.7798404694,"1"
-77.3212661743,18.4701328278,"1"
-82.9202728271,24.6206302643,"1"
-64.7338867188,18.3010692596,"1"
-78.8781661987,9.48851680756,"1"
-87.822769165,17.5483837128,"1"
-67.0258865356,17.9022293091,"1"
-62.9781684875,17.4634990692,"1"
-64.9907302856,18.3178672791,"1"
-67.0299606323,17.9191608429,"1"
-88.1399993896,16.7600002289,"1"
-64.6326828003,17.8106899261,"1"
-64.5825881958,17.7849006653,"1"
-64.7694473267,18.3152999878,"1"
-72.1166687012,21.8833332062,"1"
-80.8599472046,24.7235507965,"1"
-87.6050033569,17.2259674072,"1"
-72.4745483398,21.6456508636,"1"
-80.2122192383,23.1552772522,"1"
-77.7448806763,18.5206832886,"1"
-64.7858200073,18.3134498596,"1"
-87.7024993896,18.7169437408,"1"
-78.7280807495,9.48868370056,"1"
-79.8940811157,19.6878509521,"1"
-81.8874130249,24.4756832123,"1"
-64.689163208,18.335149765,"1"
-82.0346984863,9.26045036316,"1"
-67.0817108154,17.9396896362,"1"
-64.6651000977,17.7707691193,"1"
-81.5175857544,22.0958824158,"1"
-66.935043335,17.8984794617,"1"
-64.5666885376,17.7963104248,"1"
-79.9496688843,21.6686496735,"1"
-64.6613998413,18.345199585,"1"
-62.9916648865,17.468000412,"1"
-82.9497833252,24.6304302216,"1"
-81.4165344238,19.385433197,"1"
-64.7629470825,18.3157672882,"1"
-64.5903625488,17.7925605774,"1"
-87.4527740479,19.9750003815,"1"
-80.4755554199,23.2199993134,"1"
-82.8970489502,24.628660202,"1"
-66.9515914917,17.8972797394,"1"
-78.9031982422,9.54065036774,"1"
-64.6039505005,17.7857608795,"1"
-64.610458374,17.7831096649,"1"
-77.7401504517,24.7014694214,"1"
-72.1166687012,21.8833332062,"1"
-63.2584991455,17.6163330078,"1"
-71.5104827881,21.4845333099,"1"
-78.311630249,18.3802509308,"1"
-77.3973464966,23.7285003662,"1"
-62.9878349304,17.4643325806,"1"
-64.7555007935,17.7871170044,"1"
-38.7066650391,-17.9624996185,"1"
-80.0696868896,19.6943492889,"1"
-87.5333328247,19.1541671753,"1"
-65.3354492188,18.3124656677,"1"
-77.3809967041,23.7096691132,"1"
-79.6458816528,21.4543170929,"1"
-63.2584991455,17.6163330078,"1"
-77.7786331177,24.74518013,"1"
