"decimalLongitude","decimalLatitude"
-96.0922241211,19.1738891602
-80.0081176758,19.7091827393
-79.4222869873,21.0644664764
-67.078742981,17.9362697601
-64.5944671631,17.7798404694
-77.3212661743,18.4701328278
-82.9202728271,24.6206302643
-64.7338867188,18.3010692596
-78.8781661987,9.48851680756
-87.822769165,17.5483837128
-67.0258865356,17.9022293091
-62.9781684875,17.4634990692
-64.9907302856,18.3178672791
-67.0299606323,17.9191608429
-66.21401,17.91544
-88.1399993896,16.7600002289
-64.6326828003,17.8106899261
-64.5825881958,17.7849006653
-64.7694473267,18.3152999878
-72.1166687012,21.8833332062
-80.8599472046,24.7235507965
-87.6050033569,17.2259674072
-72.4745483398,21.6456508636
-66.75284,17.96093
-80.2122192383,23.1552772522
-77.7448806763,18.5206832886
-64.7858200073,18.3134498596
-87.7024993896,18.7169437408
-78.7280807495,9.48868370056
-79.8940811157,19.6878509521
-81.8874130249,24.4756832123
-64.689163208,18.335149765
-82.0346984863,9.26045036316
-67.0817108154,17.9396896362
-64.6651000977,17.7707691193
-67.27367,18.16304
-81.5175857544,22.0958824158
-66.935043335,17.8984794617
-64.5666885376,17.7963104248
-66.52824,17.89507
-79.9496688843,21.6686496735
-64.6613998413,18.345199585
-62.9916648865,17.468000412
-82.9497833252,24.6304302216
-81.4165344238,19.385433197
-64.7629470825,18.3157672882
-67.27367,18.16304
-64.5903625488,17.7925605774
-87.4527740479,19.9750003815
-80.4755554199,23.2199993134
-82.8970489502,24.628660202
-66.9515914917,17.8972797394
-78.9031982422,9.54065036774
-64.6039505005,17.7857608795
-64.610458374,17.7831096649
-77.7401504517,24.7014694214
-67.48833,18.382
-72.1166687012,21.8833332062
-67.21117,18.00057
-63.2584991455,17.6163330078
-71.5104827881,21.4845333099
-78.311630249,18.3802509308
-77.3973464966,23.7285003662
-66.14927,17.88488
-62.9878349304,17.4643325806
-64.7555007935,17.7871170044
-38.7066650391,-17.9624996185
-80.0696868896,19.6943492889
-66.14927,17.88488
-66.60856,17.90404
-87.5333328247,19.1541671753
-65.57112,18.35555
-65.3354492188,18.3124656677
-77.3809967041,23.7096691132
-79.6458816528,21.4543170929
-63.2584991455,17.6163330078
-77.7786331177,24.74518013
-67.27118,18.34652
-72.1869812012,21.8140163422
-80.2122192383,23.1552772522
-79.974319458,19.6937999725
-80.0898208618,26.1514701843
-64.6325836182,17.8019504547
-64.3207702637,18.7493495941
-62.9776649475,17.4616661072
-72.2242660522,21.489282608
-77.3212661743,18.4701328278
-67.48833,18.382
-80.126663208,23.1013889313
-64.6334533691,17.8069992065
-67.27367,18.16304
-64.3207702637,18.7493495941
-82.7953567505,24.7262897491
-87.6080474854,17.2218494415
-64.7147827148,18.3074893951
-67.0173492432,17.9635105133
-76.9831695557,26.6033325195
-62.9850006104,17.4643325806
-87.7055587769,18.7083339691
-87.3065795898,20.3964805603
-87.5927200317,17.1718673706
-64.6106262207,17.8055496216
-80.1024932861,26.012550354
-77.8790969849,24.8775005341
-63.232334137,17.4878330231
-87.6175003052,18.9133338928
-87.8018798828,16.9100837708
-79.9578323364,19.7141170502
-87.528213501,17.2505836487
-67.1190338135,17.9291992188
-96.0922241211,19.1738891602
-81.4165344238,19.385433197
-79.1449966431,22.6547222137
-87.9400024414,17.9200000763
-78.94626617,9.551016808
-64.5823516846,18.4746170044
-65.19714,18.13869
-78.4653320312,20.5869674683
-80.2122192383,23.1552772522
-87.8268203735,18.239200592
-64.7000427246,18.3371391296
-78.9031982422,9.54065036774
-87.9400024414,17.9200000763
-80.7542648315,24.7659664154
-67.1011734009,17.9315299988
-67.27118,18.34652
-82.8870620728,24.6680793762
-93.8147201538,27.8766498566
-64.3207702637,18.7493495941
-78.444442749,22.5636119843
-66.74697,17.95955
-81.1113128662,24.6255836487
-80.9019470215,23.2924995422
-96.1269454956,19.231388092
-72.4701843262,21.6648330688
-64.5948867798,17.8016300201
-64.5658416748,17.7626304626
-87.6050033569,17.2259674072
-79.0952835083,20.8982162476
-81.5066146851,22.0360164642
-80.2122192383,23.1552772522
-64.5823516846,18.4746170044
-78.1318817139,18.4641666412
-78.591835022,9.42771625519
-65.56711,18.35466
-81.2915496826,19.3803005219
-77.6477966309,24.3011207581
-64.5933074951,17.7686805725
-87.623336792,18.9022216797
-78.8781662,9.488516808
-66.88836,17.93626
-64.7555007935,17.7871170044
-80.8599472046,24.7235507965
-67.27524,18.16517
-87.4477767944,19.8250007629
-78.8781661987,9.48851680756
-72.1166687012,21.8833332062
-77.6462020874,24.2916698456
-71.1681365967,21.3943004608
-62.9824981689,17.4640007019
-66.88836,17.93626
-72.1152648926,21.9063491821
-63.2594985962,17.6281661987
-67.1284103394,17.9167308807
-64.7509994507,18.3731403351
-64.6490325928,17.7796401978
-64.7750473022,18.3629894257
-69.1582794189,12.3753614426
-67.27118,18.34652
-63.2531661987,17.6433334351
-78.9312973022,9.4767999649
-62.9850006104,17.4643325806
-77.6965026855,24.4833297729
-63.2316665649,17.4868335724
-82.8870620728,24.6680793762
-96.0922241211,19.1738891602
-93.8191299438,27.874080658
-62.9878349304,17.4643325806
-81.3910980225,24.6165504456
-38.7010002136,-17.9636669159
-80.1121368408,19.661699295
-80.9019470215,23.2924995422
-66.61912,17.94273
-76.9779968262,26.3535003662
-64.3207702637,18.7493495941
-64.5756835938,17.7942695618
-77.7786331177,24.74518013
-78.591835022,9.42771625519
-81.7023162842,24.4993839264
-96.1269454956,19.231388092
-71.4558029175,21.5460338593
-64.6447067261,17.7806091309
-80.1121368408,19.661699295
-66.9903106689,17.8982791901
-81.5596466064,24.5138664246
-66.75103,17.96703
-67.0804595947,17.937379837
-69.1582794189,12.3753614426
-67.26997,18.34732
-66.9719467163,17.9266605377
-87.5369415283,19.1375007629
-81.0765991211,19.333366394
-96.0922241211,19.1738891602
-64.9859466553,18.344499588
-87.6050033569,17.2259674072
-80.0688323975,19.6918334961
-81.7023162842,24.4993839264
-77.6910018921,24.6306667328
-79.701385498,22.9150009155
-87.8333358765,18.328332901
-38.422,-13.054
-38.659722,-17.980833
-88.0433349609,17.2759838104
-83.0335006714,12.0301198959
-84.5182342529,21.7878341675
-75.8160552979,9.74394416809
-64.665397644,17.769859314
-77.7401504517,24.7014694214
-62.986000061,17.4648342133
-72.4701843262,21.6648330688
-79.3630523682,22.7202777863
-67.26997,18.34732
-63.2150001526,17.6308326721
-66.9377822876,17.9185390472
-77.6706771851,24.3431491852
-78.6576843262,20.6441669464
-82.9517822266,24.6091308594
-63.2531661987,17.6433334351
-71.1681365967,21.3943004608
-64.7702331543,18.3130893707
-62.9666671753,17.4648342133
-64.6542205811,17.7672195435
-71.1550140381,21.4582157135
-93.596282959,27.9081897736
-67.27367,18.16304
-64.5796585083,17.7831306458
-65.59008,18.08964
-64.7229614258,18.3676395416
-64.6997833252,18.3160991669
-66.8476333618,11.7355661392
-78.0125808716,18.4577827454
-64.6914978027,17.7686328888
-81.4756317139,21.9878673553
-80.1024932861,26.012550354
-67.0870132446,17.9020309448
-77.8076705933,24.751329422
-80.0962905884,26.1015796661
-78.444442749,22.5636119843
-66.52824,17.89507
-77.6969680786,24.5064296722
-64.576751709,17.7885398865
-81.2915496826,19.3803005219
-87.4343032837,18.5258998871
-88.0599975586,16.8099994659
-62.9776649475,17.4624996185
-67.0485,17.93472
-64.6914978027,17.7686328888
-64.568397522,17.7632293701
-67.27118,18.34652
-78.1318817139,18.4641666412
-96.1269454956,19.231388092
-87.5989303589,17.1384162903
-38.6951675415,-17.9815006256
-63.2584991455,17.6163330078
-64.6914978027,17.7686328888
-77.5333480835,24.0997200012
-62.9850006104,17.4643325806
-82.13244629,9.251233101
-67.27367,18.16304
-66.8994064331,17.9160995483
-87.8871154785,16.7269001007
-93.8184127808,27.8736190796
-64.2314987183,18.6660823822
-81.393081665,24.5645999908
-80.0892562866,26.1570205688
-62.9824981689,17.4640007019
-69.1650009155,12.3185825348
-72.1835021973,21.8180007935
-64.7629470825,18.3157672882
-96.0922241211,19.1738891602
-69.1582794189,12.3753614426
-64.6915206909,18.3157901764
-67.23322,17.99116
-66.9840393066,17.9162406921
-72.1166687012,21.8833332062
-66.49683,17.88902
-62.9878349304,17.4643325806
-81.0202865601,24.6933670044
-62.984664917,17.4633331299
