species, dd lon, dd lat
Mussismilia hispida,-44.2609,-0.8727
Mussismilia hispida,-38.4076,-3.5976
Mussismilia hispida,-33.8021,-3.8668
Mussismilia hispida,-32.4453,-3.8542
Mussismilia hispida,-34.8130,-7.1129
Mussismilia hispida,-35.0859,-8.7579
Mussismilia hispida,-38.5139,-12.9440
Mussismilia hispida,-38.9814,-16.4161
Mussismilia hispida,-39.1978,-17.9669
Mussismilia hispida,-40.5083,-20.7114
Mussismilia hispida,-29.3460,-20.5017
Mussismilia hispida,-41.8743,-22.7391
Mussismilia hispida,-42.0151,-22.9673
Mussismilia hispida,-44.3217,-23.1469
Mussismilia hispida,-45.4406,-23.8706
Mussismilia hispida,-44.75,-23.25	
Mussismilia hispida,-44.25,-23.25
Mussismilia hispida,-44.25,-22.75
Mussismilia hispida,-41.75,-22.75
Mussismilia hispida,-37.75,-18.75	
Mussismilia hispida,-39.25,-18.25
Mussismilia hispida,-38.75,-18.25	
Mussismilia hispida,-39.25,-17.75	
Mussismilia hispida,-38.75,-17.75
Mussismilia hispida,-39.25,-17.25
Mussismilia hispida,-38.75,-17.25	
Mussismilia hispida,-39.25,-16.75
Mussismilia hispida,-37.25,-4.75

