Samples;decimalLongitude;decimalLatitude;Mussismilia_hispida
Cagarras/Fundo_061011_Cam_am_Video1/;-32.390165;-3.814548;0
Cagarras/Fundo_061011_Cam_am_Video2/;-32.390165;-3.814548;0
Cagarras/Fundo_061011_Cam_am_Video4/;-32.390165;-3.814548;0
Cagarras/Fundo_061011_Cam_ou_Video1/;-32.390165;-3.814548;0
Cagarras/Fundo_061011_Cam_ou_Video2/;-32.390165;-3.814548;0
Cagarras/Fundo_061011_Cam_ou_Video3/;-32.390165;-3.814548;0
Cagarras/Fundo_061011_Cam_ou_Video4/;-32.390165;-3.814548;0
Cagarras/Fundo_061011_Cam_ou_Video5/;-32.390165;-3.814548;0
Cagarras/Fundo_061011_Thiago_Video1/;-32.390165;-3.814548;0
Cagarras/Fundo_061011_Thiago_Video2/;-32.390165;-3.814548;0
Cagarras/Fundo_061011_Thiago_Video3/;-32.390165;-3.814548;0
Cagarras/Fundo_061011_Thiago_Video4/;-32.390165;-3.814548;0
Cagarras/Fundo_061011_Thiago_Video5/;-32.390165;-3.814548;0
Cagarras/Fundo_101011_Renato_Fundo_Video1/;-32.390165;-3.814548;0
Cagarras/Fundo_101011_Renato_Fundo_Video2/;-32.390165;-3.814548;0
Cagarras/Raso_101011_Gui_Raso_Video2/;-32.390165;-3.814548;0
Cagarras/Raso_101011_Gui_Raso_Video3/;-32.390165;-3.814548;0
Cagarras/Raso_101011_Gui_Raso_Video4/;-32.390165;-3.814548;0
Cagarras/Raso_101011_Gui_Raso_Video5/;-32.390165;-3.814548;0
Cagarras/Raso_101011_Gui_Raso_Video6/;-32.390165;-3.814548;0
Cagarras/Raso_101011_Renato_Raso_Video1/;-32.390165;-3.814548;0
Cagarras/Raso_101011_Thiago_Raso_Video1/;-32.390165;-3.814548;0
Cagarras/Raso_101011_Thiago_Raso_Video2/;-32.390165;-3.814548;0
Cagarras/Raso_101011_Thiago_Raso_Video3/;-32.390165;-3.814548;0
Cagarras/Raso_101011_Thiago_Raso_Video4/;-32.390165;-3.814548;0
Cagarras/Raso_101011_Thiago_Raso_Video5/;-32.390165;-3.814548;0
Cagarras/Raso_101011_Thiago_Raso_Video6/;-32.390165;-3.814548;0
Cagarras/Raso_101011_Thiago_Raso_Video7/;-32.390165;-3.814548;0
Conceicao/Fundo_031011_Renato_Fundo_Video1/;-32.414963;-3.83904;0
Conceicao/Fundo_031011_Thiago_Fundo_Video1/;-32.414963;-3.83904;0
Conceicao/Fundo_031011_Thiago_Fundo_Video2/;-32.414963;-3.83904;0
Conceicao/Fundo_031011_Thiago_Fundo_Video3/;-32.414963;-3.83904;0
Conceicao/Fundo_041011_Renato_Fundo_Video1/;-32.414963;-3.83904;0
Conceicao/Fundo_041011_Renato_Fundo_Video2/;-32.414963;-3.83904;0
Conceicao/Fundo_041011_Renato_Fundo_Video4/;-32.414963;-3.83904;0
Conceicao/Fundo_041011_Renato_Fundo_Video5/;-32.414963;-3.83904;0
Conceicao/Fundo_041011_Thiago_Fundo_Video1/;-32.414963;-3.83904;0
Conceicao/Fundo_041011_Thiago_Fundo_Video2/;-32.414963;-3.83904;0
Conceicao/Fundo_041011_Thiago_Fundo_Video3/;-32.414963;-3.83904;0
Conceicao/Fundo_041011_Thiago_Fundo_Video4/;-32.414963;-3.83904;0
Conceicao/Fundo_Filmagem1/;-32.414963;-3.83904;0
Conceicao/Fundo_FIlmagem2/;-32.414963;-3.83904;0
Conceicao/Fundo_FIlmagem3/;-32.414963;-3.83904;0
Conceicao/Raso_031011_Gui_Video1/;-32.414963;-3.83904;0
Conceicao/Raso_041011_Renato_Raso_Video1/;-32.414963;-3.83904;0
Conceicao/Raso_041011_Renato_Raso_Video2/;-32.414963;-3.83904;0
Conceicao/Raso_041011_Thiago_Raso_Video1/;-32.414963;-3.83904;0
Conceicao/Raso_041011_Thiago_Raso_Video2_nao/;-32.414963;-3.83904;0
Conceicao/Raso_051011_Gui_Raso_Video1/;-32.414963;-3.83904;0
Conceicao/Raso_051011_Gui_Raso_Video2/;-32.414963;-3.83904;0
Conceicao/Raso_051011_Gui_Raso_Video3/;-32.414963;-3.83904;0
Conceicao/Raso_051011_Gui_Raso_Video4/;-32.414963;-3.83904;1
Conceicao/Raso_051011_Gui_Raso_Video5/;-32.414963;-3.83904;0
Conceicao/Raso_051011_Thiago_Raso_Video2/;-32.414963;-3.83904;0
Conceicao/Raso_Filmagem1/;-32.414963;-3.83904;0
Conceicao/Raso_Filmagem2/;-32.414963;-3.83904;0
Conceicao/Raso_Filmagem4/;-32.414963;-3.83904;0
Sueste/Esq_071011_Cam_out_Video1/;-32.422785;-3.86684;0
Sueste/Esq_071011_Thiago_Video1/;-32.422785;-3.86684;0
Sueste/Esq_071011_Thiago_Video2/;-32.422785;-3.86684;0
Sueste/Esq_071011_Thiago_Video3/;-32.422785;-3.86684;0
Sueste/Esq_071011_Thiago_Video4/;-32.422785;-3.86684;0
Sueste/Esq_071011_Thiago_Video5/;-32.422785;-3.86684;0
Sueste/Esq_071011_Thiago_Video6/;-32.422785;-3.86684;0
Sueste/Esq_071011_Thiago_Video7/;-32.422785;-3.86684;0
Sueste/Esq_091011_Gui_Video1/;-32.422785;-3.86684;0
Sueste/Esq_091011_Gui_Video2/;-32.422785;-3.86684;0
Sueste/Esq_091011_Gui_Video3/;-32.422785;-3.86684;0
Sueste/Esq_091011_Gui_Video4/;-32.422785;-3.86684;0
Sueste/Esq_091011_Gui_Video5/;-32.422785;-3.86684;0
Sueste/Esq_091011_Gui_Video6/;-32.422785;-3.86684;0
Chapeir?s_04_03_2010/12/;-38.6625;-17.96277778;0
Chapeir?s_04_03_2010/13/;-38.6625;-17.96277778;0
Chapeir?s_04_03_2010/14/;-38.6625;-17.96277778;1
Chapeir?s_04_03_2010/15/;-38.6625;-17.96277778;1
Chapeir?s_04_03_2010/17/;-38.6625;-17.96277778;0
Chapeir?s_04_03_2010/23_ide/;-38.6625;-17.96277778;0
Chapeir?s_04_03_2010/24_ide/;-38.6625;-17.96277778;1
Chapeir?s_04_03_2010/25_ju/;-38.6625;-17.96277778;0
Chapeir?s_04_03_2010/3/;-38.6625;-17.96277778;0
Chapeir?s_04_03_2010/5/;-38.6625;-17.96277778;0
Chapeir?s_04_03_2010/6/;-38.6625;-17.96277778;0
Chapeir?s_04_03_2010/7/;-38.6625;-17.96277778;0
Chapeir?s_04_03_2010/8/;-38.6625;-17.96277778;0
Chapeir?s_04_03_2010/9/;-38.6625;-17.96277778;0
m;-38.6625;-17.96277778;0
Portinho_Norte_05_Mar?/1/;-38.69777778;-17.96138889;1
Portinho_Norte_05_Mar?/10/;-38.69777778;-17.96138889;0
Portinho_Norte_05_Mar?/11/;-38.69777778;-17.96138889;0
Portinho_Norte_05_Mar?/12/;-38.69777778;-17.96138889;0
