Fonte;DOI do artigo;Ano do artigo;decimalLatitude;decimalLongitude
Loiola et al.;https://doi.org/10.1016/j.marenvres.2019.03.013;2019;-17.333333;-38.500000
Loiola et al.;https://doi.org/10.1016/j.marenvres.2019.03.013;2019;-18.000000;-39.500000
Freitas, L.M., Oliveira, M.D.M., Leão, Z.M.A.N. et al. Coral Reefs (2019) 38: 241.;https://doi.org/10.1007/s00338-019-01770-3;2019;-17.963548;-38.700843
Mies, M., Güth, A.Z., Tenório, A.A. et al. Coral Reefs (2018) 37: 677.;https://doi.org/10.1007/s00338-018-1692-z;2018;-23.500278;-45.118611
Miranda et al.;https://doi.org/10.1016/j.marenvres.2018.03.013;2018;-13.116667;-38.633333
Leite et al.;https://doi.org/10.3389/fmicb.2018.00833;2018;-16.444547;-39.039719
Leite et al.;https://doi.org/10.3389/fmicb.2018.00834;2018;-16.424811;-39.022061
Leite et al.;https://doi.org/10.3389/fmicb.2018.00835;2018;-16.420564;-39.003597
Leite et al.;https://doi.org/10.3389/fmicb.2018.00836;2018;-16.420253;-38.983000
Leite et al.;https://doi.org/10.3389/fmicb.2018.00837;2018;-16.389922;-38.981922
Leite et al.;https://doi.org/10.1002/ece3.3717;2018;-6.444547;-39.022061
Leite et al.;https://doi.org/10.1002/ece3.3718;2018;-16.389922;-38.981922
Mies, M., Güth, A.Z., Castro, C.B. et al. Mar Biol (2018) 165: 6. https://doi.org/10.1007/s00227-017-3263-1;https://doi.org/10.1007/s00227-017-3263-1;2018;-16.416667;-38.983333
Mies, M., Chaves-Filho, A.B., Miyamoto, S. et al. Coral Reefs (2017) 36: 1319. https://doi.org/10.1007/s00338-017-1627-0;https://doi.org/10.1007/s00338-017-1627-0;2017;-16.416667;-38.983333
Carlos, C., Pereira, L.B. & Ottoboni, L.M.M. Curr Genet (2017) 63: 509. https://doi.org/10.1007/s00294-016-0658-3;https://doi.org/10.1007/s00294-016-0658-3;2017;-23.843611;-45.166944
Mies M, Voolstra CR, Castro CB, Pires DO, Calderon EN, Sumida PYG. 2017;http://dx.doi.org/10.1098/rsos.170253;2017;-16.416667;-38.983333
Leite et al.;https://doi.org/10.3389/fmicb.2017.00176;2017;-16.425000;-38.975000
Leite et al.;https://doi.org/10.3389/fmicb.2017.00176;2017;-16.418333;-38.988333
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-3.859819;-33.814197
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-3.867756;-33.814431
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-3.867756;-33.814431
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-3.871667;-33.808122
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-3.598286;-38.406592
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-3.598286;-38.406592
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-3.598286;-38.406592
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-3.598286;-38.406592
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-3.598286;-38.406592
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-3.854206;-32.445267
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-3.808767;-32.390492
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-3.808758;-32.390492
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-3.873853;-32.475017
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-3.873853;-32.475017
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-3.808767;-32.390492
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-3.808767;-32.390492
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-3.808767;-32.390492
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-7.104167;-34.812500
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-7.104167;-34.812500
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-7.104167;-34.812500
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-8.757906;-35.085922
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-8.761028;-35.087044
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-8.761028;-35.087044
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-12.838331;-38.547778
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-12.814167;-38.573608
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-12.781108;-38.616108
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-16.398850;-38.986550
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-16.422381;-38.986550
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-16.412831;-38.989967
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-16.412831;-38.989967
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-16.399081;-38.986897
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-16.412831;-38.989967
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-17.775217;-39.063056
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-17.915981;-39.144867
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-17.915981;-39.144867
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-17.915981;-39.144867
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-17.966867;-39.197817
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-17.966867;-39.197817
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-20.494575;-29.328506
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-20.495139;-29.342897
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-20.498175;-29.343642
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-20.521669;-29.331517
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-20.489256;-29.339250
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-20.495139;-29.342897
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-20.507889;-29.344817
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-20.507025;-29.310183
Picciani, N., de Lossio e Seiblitz, I.G., de Paiva, P.C. et al. Mar Biol (2016) 163: 236.;https://doi.org/10.1007/s00227-016-3010-z;2016;-20.527711;-29.300056
