"species","decimalLongitude","decimalLatitude","countryCode","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","datasetName"
"Mussismilia hispida",-38.669498,-17.992001,"BR",NA,"1935232414","Faviidae","SPECIES",NA,2000,"HUMAN_OBSERVATION","AGRRA",NA
"Mussismilia hispida",-38.655666,-17.968,"BR",NA,"1935236508","Faviidae","SPECIES",NA,2000,"HUMAN_OBSERVATION","AGRRA",NA
"Mussismilia hispida",-38.653332,-17.955166,"BR",NA,"1935241907","Faviidae","SPECIES",NA,2000,"HUMAN_OBSERVATION","AGRRA",NA
"Mussismilia hispida",-38.669498,-17.992001,"BR",NA,"1935243589","Faviidae","SPECIES",NA,2000,"HUMAN_OBSERVATION","AGRRA",NA
"Mussismilia hispida",-38.669498,-17.992001,"BR",NA,"1935252217","Faviidae","SPECIES",NA,2000,"HUMAN_OBSERVATION","AGRRA",NA
"Mussismilia hispida",-38.669498,-17.992001,"BR",NA,"1935259102","Faviidae","SPECIES",NA,2000,"HUMAN_OBSERVATION","AGRRA",NA
"Mussismilia hispida",-38.695168,-17.981501,"BR",NA,"1935260079","Faviidae","SPECIES",NA,2000,"HUMAN_OBSERVATION","AGRRA",NA
"Mussismilia hispida",-38.653332,-17.955166,"BR",NA,"1935260548","Faviidae","SPECIES",NA,2000,"HUMAN_OBSERVATION","AGRRA",NA
"Mussismilia hispida",-38.669498,-17.992001,"BR",NA,"1935262981","Faviidae","SPECIES",NA,2000,"HUMAN_OBSERVATION","AGRRA",NA
"Mussismilia hispida",-38.695168,-17.981501,"BR",NA,"1935266834","Faviidae","SPECIES",NA,2000,"HUMAN_OBSERVATION","AGRRA",NA
"Mussismilia hispida",-38.701832,-17.959999,"BR",NA,"1935250544","Faviidae","SPECIES",NA,2000,"HUMAN_OBSERVATION","AGRRA",NA
"Mussismilia hispida",-82.1107,9.31979,"PA",1,"2397746909","Faviidae","SPECIES",NA,1998,"PRESERVED_SPECIMEN","USNM","NMNH Extant Biology"
"Mussismilia hispida",-82.1107,9.31979,"PA",1,"2397778568","Faviidae","SPECIES",NA,1998,"PRESERVED_SPECIMEN","USNM","NMNH Extant Biology"
"Mussismilia hispida",-82.1107,9.31979,"PA",1,"2397797534","Faviidae","SPECIES",NA,1998,"PRESERVED_SPECIMEN","USNM","NMNH Extant Biology"
"Mussismilia hispida",-45.1,-23.5,"BR",13,"1265874188","Faviidae","SPECIES",NA,1964,"PRESERVED_SPECIMEN","MNHN",NA
"Mussismilia hispida",-38.62,-12.73,"BR",1,"1319002377","Faviidae","SUBSPECIES",NA,1963,"PRESERVED_SPECIMEN","USNM","NMNH Extant Biology"
