name,long,lat
AUED568,-33.818884,-3.860322
BIBL154,-34.822453,-7.124765
AUED493,-38.532404,-13.008831
BIBL2,-39.495077,-18.003099
AUED87,-38.697698,-17.961300
BIBL114,-38.695575,-17.962921
BIBL61,-29.340097,-20.489258
BIBL57,-29.327742,-20.492467
BIBL64,-29.309659,-20.504905
AUED117,-29.309546,-20.504954
PELU10,-40.508061,-20.711398
BIBL76,-41.901305,-22.753898
AUED651,-41.984460,-22.980427
BIBL94,-41.991865,-22.985028
BIBL104,-44.156994,-23.135776
BIBL139,-45.133281,-23.797796
BIBL102,-45.410353,-23.821470
AUED299,-48.366833,-27.274989
AUED1,-32.390543,-3.814355
BIBL3,-38.700432,-17.963954
BIBL4,-45.118496,-23.500343
AUED158,-29.343378,-20.492586
BIBL89,-38.924242,-13.571389
