"date_year","scientificNameID","year","scientificName","dropped","aphiaID","decimalLatitude","subclassid","phylumid","familyid","catalogNumber","occurrenceStatus","basisOfRecord","terrestrial","maximumDepthInMeters","id","day","order","dataset_id","decimalLongitude","collectionCode","date_end","speciesid","occurrenceID","date_start","month","genus","bibliographicCitation","eventDate","brackish","absence","subfamily","genusid","originalScientificName","marine","minimumDepthInMeters","subfamilyid","institutionCode","date_mid","class","orderid","kingdom","classid","phylum","species","subclass","family","kingdomid","node_id","sss","depth","shoredistance","sst","bathymetry","fieldNumber","scientificNameAuthorship","identifiedBy","flags","locality","country","county","waterBody","references","modified","georeferenceRemarks","minimumElevationInMeters","maximumElevationInMeters","samplingProtocol","continent","eventTime","geodeticDatum","recordedBy","datasetID","dynamicProperties","individualCount","associatedReferences","stateProvince","preparations"
2000,"urn:lsid:marinespecies.org:taxname:290423","2000","Mussismilia hispida",FALSE,290423,-17.9920005798,1340,1267,196099,"34781","present","HumanObservation",FALSE,7.5,"0126ee6c-24b2-43c2-9f75-5f65110c1d94","22","Scleractinia","47edd06e-212a-4677-9abb-6384a0cac20a",-38.6694984436,"agrra_benthic",953683200000,290423,"32540",953683200000,"3","Mussismilia","Marks, K.W. 2007. AGRRA Database, version (05/2007). Available online http:www.agrra.org/Release_2007-05","2000-03-22T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,7.5,718680,"AGRRA",953683200000,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"8385435b-bcf5-4bec-b827-8b480163d479",37.08,7.5,3092,25.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,"urn:lsid:marinespecies.org:taxname:290423","1999","Mussismilia hispida",FALSE,290423,-17.134,1340,1267,196099,"MNRJ 4610",NA,"PreservedSpecimen",FALSE,NA,"026a275b-92b1-43c9-9481-fc9714ac2a89","06","Scleractinia","300cb5e2-4431-4ec8-af71-8c6078305e50",-36.806,"Cnidaria",928627200000,290423,NA,928627200000,"06","Mussismilia",NA,"1999-06-06T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,NA,718680,"REVIZEE",928627200000,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"dde0dbd3-92fb-41e6-9f51-b1ae930a934b",37.4,NA,220282,26.72,133,"BAI-D0404","(Verrill, 1902)","Barreira e Castro, C; Pires, D.O.; Medeiros, M.S.; Loiola, L.L.; Arantes, R.C.M.; Thiago, C.M.;Berman, E.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"urn:lsid:marinespecies.org:taxname:290423","2003","Mussismilia hispida",FALSE,290423,-23.221,1340,1267,196099,"PCABRS228",NA,"PreservedSpecimen",FALSE,13,"0397e041-5812-40e5-b4eb-390edf22f423","17","Scleractinia","eddee438-1ec9-4e50-83ca-a7ee7bc324cc",-44.558,"Cnidaria",1069027200000,290423,NA,1069027200000,"11","Mussismilia",NA,"2003-11-17T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,13,718680,"MMA/BIO23",1069027200000,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"dde0dbd3-92fb-41e6-9f51-b1ae930a934b",35.98,13,80,23.72,-1,"4","(Verrill, 1901)","Pires, D.O.; Castro, C.B.; Alvarenga, M.F.; Barros, M.M.L; Ratto, C.C.; Segal, B.",NA,"Ilha Deserta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"urn:lsid:marinespecies.org:taxname:290423","2000","Mussismilia hispida",FALSE,290423,-17.478333,1340,1267,196099,"CSPM500",NA,"HumanObservation",FALSE,18,"03c87104-e2d9-4853-a982-b066b2074a82","26","Scleractinia","7a950cb1-88cc-4401-9368-1495e64586ff",-39.027778,"RAP",951523200000,290423,NA,951523200000,"2","Mussismilia",NA,"2000-02-26T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,7,718680,"CI_BR",951523200000,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"dde0dbd3-92fb-41e6-9f51-b1ae930a934b",36.95,12.5,11949,25.88,7,"40","(Verrill, 1901) ",NA,NA,"Central Timbebas Reef, Abrolhos National Park","Brazil","Abrolhos","South Atlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"urn:lsid:marinespecies.org:taxname:290423","2004","Mussismilia hispida",FALSE,290423,-23.048,1340,1267,196099,"PCABRS244",NA,"PreservedSpecimen",FALSE,17,"06b218ef-8f49-4bd4-bdc2-c7bd1fe9d842","23","Scleractinia","eddee438-1ec9-4e50-83ca-a7ee7bc324cc",-44.546,"Cnidaria",1085270400000,290423,NA,1085270400000,"5","Mussismilia",NA,"2004-05-23T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,17,718680,"MMA/BIO23",1085270400000,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"dde0dbd3-92fb-41e6-9f51-b1ae930a934b",35.97,17,30,23.77,8,"16","(Verrill, 1901)","Pires, D.O.; Castro, C.B.; Alvarenga, M.F.; Barros, M.M.L; Ratto, C.C.; Segal, B.",NA,"Rochedo Sao Pedro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"urn:lsid:marinespecies.org:taxname:290423","2000","Mussismilia hispida",FALSE,290423,-17.875,1340,1267,196099,"CSPM484",NA,"HumanObservation",FALSE,11,"0ad7d83b-21e9-47c5-9fe0-7caa7dff95e0","20","Scleractinia","7a950cb1-88cc-4401-9368-1495e64586ff",-38.979167,"RAP",951004800000,290423,NA,951004800000,"2","Mussismilia",NA,"2000-02-20T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,3,718680,"CI_BR",951004800000,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"dde0dbd3-92fb-41e6-9f51-b1ae930a934b",36.97,7,24774,25.9,4,"23","(Verrill, 1901) ",NA,NA,"Southern Parcel das Paredes","Brazil","Abrolhos","South Atlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"urn:lsid:marinespecies.org:taxname:290423","2000","Mussismilia hispida",FALSE,290423,-17.9599990845,1340,1267,196099,"34562","present","HumanObservation",FALSE,4,"0b5e6043-fc59-471e-8243-c9418bbec78a","5","Scleractinia","47edd06e-212a-4677-9abb-6384a0cac20a",-38.7018318176,"agrra_benthic",954892800000,290423,"24002",954892800000,"4","Mussismilia","Marks, K.W. 2007. AGRRA Database, version (05/2007). Available online http:www.agrra.org/Release_2007-05","2000-04-05T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,4,718680,"AGRRA",954892800000,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"8385435b-bcf5-4bec-b827-8b480163d479",37.08,4,86,25.9,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"urn:lsid:marinespecies.org:taxname:290423","2000","Mussismilia hispida",FALSE,290423,-17.988611,1340,1267,196099,"CSPM471",NA,"HumanObservation",FALSE,NA,"0cf6c003-8a7f-4da8-8d24-5f5202a86fe7","13","Scleractinia","7a950cb1-88cc-4401-9368-1495e64586ff",-38.966111,"RAP",9.504e+11,290423,NA,9.504e+11,"2","Mussismilia",NA,"2000-02-13T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,NA,718680,"CI_BR",9.504e+11,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"dde0dbd3-92fb-41e6-9f51-b1ae930a934b",36.98,NA,25507,25.9,4,"7","(Verrill, 1901) ",NA,NA,"Northern Popa Verde","Brazil","Abrolhos","South Atlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"urn:lsid:marinespecies.org:taxname:290423","2000","Mussismilia hispida",FALSE,290423,-5.3967,1340,1267,196099,"6",NA,"PreservedSpecimen",FALSE,NA,"10a71755-c886-4b59-9f95-d93d05d587a7",NA,"Scleractinia","49b938b5-2d5a-43c0-92f9-26354f189f82",-35.2773,"UFS",9.62496e+11,290423,NA,9.62496e+11,NA,"Mussismilia",NA,"2000-07-02T00:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,NA,718680,"UFPE",9.62496e+11,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"dde0dbd3-92fb-41e6-9f51-b1ae930a934b",36.36,NA,3627,27.65,5,NA,"(Verrill, 1901)",NA,NA,"Offshore","Brazil","Maracajau","South Atlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"urn:lsid:marinespecies.org:taxname:290423","2000","Mussismilia hispida",FALSE,290423,-17.9815006256,1340,1267,196099,"34297","present","HumanObservation",FALSE,5.5,"15043604-b92e-41ac-8462-c320909d3d7f","28","Scleractinia","47edd06e-212a-4677-9abb-6384a0cac20a",-38.6951675415,"agrra_benthic",954201600000,290423,"40290",954201600000,"3","Mussismilia","Marks, K.W. 2007. AGRRA Database, version (05/2007). Available online http:www.agrra.org/Release_2007-05","2000-03-28T12:00:00Z",FALSE,FALSE,"Faviinae",267605,"Mussismilia hispida",TRUE,5,718680,"AGRRA",954201600000,"Anthozoa",1363,"Animalia",1292,"Cnidaria","Mussismilia hispida","Hexacorallia","Faviidae",2,"8385435b-bcf5-4bec-b827-8b480163d479",37.08,5.25,145,25.9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
