"decimalLongitude","decimalLatitude"
-38.6694984436,-17.9920005798
-36.806,-17.134
-44.558,-23.221
-39.027778,-17.478333
-44.546,-23.048
-38.979167,-17.875
-38.7018318176,-17.9599990845
-45.0181,-23.7561
-38.966111,-17.988611
-35.2773,-5.3967
-38.6951675415,-17.9815006256
-39.013056,-17.506111
-38.690278,-17.906944
-44.214,-23.047
-39.071389,-16.975278
-38.590556,-18.101944
-38.6533317566,-17.955165863
-44.326,-23.137
-44.148,-23.125
-37.87,-18.663
-44.235,-23.029
-38.979167,-17.875
-44.326,-23.137
-44.15,-23.168
-39.218611,-17.955
-44.225,-23.079
-38.6694984436,-17.9920005798
-38.6694984436,-17.9920005798
-44.631,-23.272
-44.596,-23.203
-39.011111,-17.813056
-44.363,-23.071
-44.6,-23.238
-39.051111,-16.882778
-45.0181,-23.751
-39.272778,-17.996111
-44.379,-23.032
-44.596,-23.203
-44.546,-23.048
-38.659722,-17.980833
-35.704,-20.704
-38.918889,-17.745556
-38.600833,-17.715278
-38.6951675415,-17.9815006256
-44.537,-23.152
-38.988333,-18.020278
-44.644,-23.193
-39.091389,-16.895833
-38.873889,-17.350278
-44.506,-23.291
-44.297,-23.113
-38.6533317566,-17.955165863
-44.537,-23.152
-39.048333,-17.786389
-38.601389,-17.721389
-38.756389,-17.992778
-38.703611,-18.003889
-44.69,-23.214
-45.4228,-23.8292
-38.639444,-18.012778
-35.838,-20.511
-44.099,-23.164
-39.000833,-17.708056
-39.113333,-16.951389
-44.225,-23.079
-44.31,-23.085
-44.373,-23.167
-39.135278,-17.421944
-39.050833,-17.605278
-38.6694984436,-17.9920005798
-44.191,-23.102
-44.506,-23.291
-39.065278,-16.891667
-33.636,-20.857
-38.6556663513,-17.968000412
-44.253,-23.07
-38.924722,-17.819167
-44.69,-23.214
-39.113333,-16.951389
-39.018333,-18.011111
-39.126944,-17.003889
-44.15,-23.221
-44.578,-23.185
-39.272778,-17.996111
-44.601,-23.063
-38.703611,-18.003889
-38.6170005798,-12.7329998016
-39.031944,-17.46
-38.966389,-17.682222
-39.085,-16.886389
-44.601,-23.063
-44.367,-22.962
-44.578,-23.185
-44.541,-23.268
-38.6694984436,-17.9920005798
-38.978611,-17.751944
-44.253,-23.07
-46.3576,-24.0216
-34.8666666667,-7.1
-44.421,-23.06
-38.678889,-18.048056
-39,-18.028333
-44.309,-23.028
-39.078611,-16.897778
-44.373,-23.167
-44.631,-23.272
-44.682,-23.157
-44.14,-23.043
-44.644,-23.193
-44.15,-23.221
-38.971111,-17.426111
-49,-22
