article.doi;species;decimalLongitude;decimalLatitude
10.1017/RDC.2017.118;Siderastrea siderea;-61;14.75
10.1017/S0025315414001465;Siderastrea radians;-14.3494;-7.900367
10.1017/S0025315414001465;Siderastrea radians;-14.3825;-7.894217
10.1017/S0025315414001465;Siderastrea radians;-14.4196;-7.93030
10.1017/S0025315414001465;Siderastrea radians;-14.4034;-7.988167
10.1017/S0025315414001465;Siderastrea radians;-14.4035;-7.910233
10.1002/2016GC006640;Siderastrea siderea;-82.772;24.693
10.1002/2016GC006640;Siderastrea siderea;-81.108;24.626
10.1002/2016GC006640;Siderastrea siderea;-80.375;25.01
10.1002/2016GC006640;Siderastrea siderea;-80.095;25.59
10.1002/2013PA002524;Siderastrea siderea;-82.8;24.7
10.3989/scimar.03538.02E;Siderastrea;-38.05;-11.367
10.3989/scimar.03538.02E;Siderastrea;-37.983;-11.433
10.1016/j.ecss.2010.02.006;Siderastrea stellata;-41.85;-21.317
10.1080/07924259.2006.9652213;Siderastrea stellata;-39.066;-16.883
10.1007/s00338-006-0157-y;Siderastrea radians;-76.5;24.25
10.1007/s00338-006-0157-y;Siderastrea radians;-80.367;24.983
 10.1111/j.1502-3931.1992.tb01391.x;Siderastrea spp;-71.625;18.433
10.1007/s00338-019-01770-3;Siderastrea stellata;-38.666;-18.033
 10.1017/RDC.2018.145;Siderastrea stellata;-38.517;-11.133
 10.1017/RDC.2018.145;Siderastrea stellata;-38.633;-16.05
10.1007/s12526-017-0712-5;Siderastrea siderea;-63.29;17.384
10.1007/s12526-017-0712-5;Siderastrea radians;-63.29;17.384
 10.1007/s12526-016-0615-x;Siderastrea stellata;-38.271;-2.446
10.1002/ecs2.2281;Siderastrea stellata;-34.801;-7.206
10.1002/ecs2.2281;Siderastrea stellata;-34.801;-7.207
10.1016/j.palaeo.2018.02.007;Siderastrea stellata;-33.817;-2.15
10.1002/2017GC007365;Siderastrea stellata;-33.818;-3.858
10.1590/0001-3765201720160387;Siderastrea stellata;-33.817;-2.15
 10.1016/j.palaeo.2016.10.022;Siderastrea siderea;-82.866;24.6
 10.1016/j.palaeo.2016.10.022;Siderastrea siderea;-82.783;24.7
 10.1016/j.palaeo.2016.10.022;Siderastrea siderea;-82.816;24.667
10.1016/j.gloplacha.2015.12.019;Siderastrea siderea;-72.667;18.478
10.1016/j.marenvres.2016.01.008;Siderastrea stellata;-38.549;-11.163
10.7717/peerj.1794;Siderastrea siderea;-68.743;12.091
 10.1007/s00227-016-2819-9;Siderastrea stellata;-38.642;-12.871
10.1111/gbi.12155;Siderastrea stellata;-33.809;-3.874
10.5343/bms.2015.1029;Siderastrea stellata;-42.028;-21.034
10.1590/1678-476620151052184192;Siderastrea stellata;-35.078;-8.703
10.1590/1678-476620151052184192;Siderastrea stellata;-35.099;-8.762
10.1590/1678-476620151052184192;Siderastrea stellata;-35.266;-9.111
10.1590/1678-476620151052184192;Siderastrea stellata;-35.277;-9.125
10.1590/1678-476620151052184192;Siderastrea stellata;-35.529;-9.449
10.1590/1678-476620151052184192;Siderastrea stellata;-35.547;-9.469
10.1371/journal.pone.0083829;Siderastrea radians;-60.817;11.183
10.1371/journal.pone.0083829;Siderastrea radians;-60.9;11.233
10.1371/journal.pone.0083829;Siderastrea radians;-60.5;11.283
10.1007/s12526-013-0153-8;Siderastrea radians;-23;16.75
10.1590/S1676-06032013000100012;Siderastrea stellata;-38.633;-11.283
10.1590/S1676-06032013000100012;Siderastrea stellata;-38.617;-11.25
10.1590/S1676-06032013000100012;Siderastrea stellata;-38.5;-11.067
10.1590/S1676-06032013000100012;Siderastrea stellata;-38.517;-11.017
10.1590/S1676-06032013000100012;Siderastrea stellata;-38.533;-13
10.1590/S1676-06032013000100012;Siderastrea stellata;-38.083;-11.333
10.1590/S1676-06032013000100012;Siderastrea stellata;-38.05;-11.367
10.1590/S1676-06032013000100012;Siderastrea stellata;-38.033;-11.4
10.1590/S1676-06032013000100012;Siderastrea stellata;-37.983;-11.433
10.1016/j.gca.2012.09.035;Siderastrea spp;-78.617;25.833
10.1029/2012PA002313;Siderastrea siderea;-86.74;20.83
10.1029/2012PA002313;Siderastrea siderea;-86.95;20.74
10.1029/2012PA002313;Siderastrea siderea;-86.96;20.74
10.1007/s00248-009-9612-y;Siderastrea stellata;-41.9;-21.25
10.1029/2008GC002106;Siderastrea siderea;-82.867;24.617
 10.1029/2005PA001257;Siderastrea radians;-22.883;16.75
10.2110/palo.2004.p04-09;Siderastrea siderea;-88.308;16.684
