"decimalLongitude","decimalLatitude","Siderastrea"
-74.23642,11.21005,1
-74.20697,11.27335,1
-74.23642,11.21005,1
-74.20697,11.27335,1
-81.895997,12.164968,1
-81.871106,12.13791,1
-81.84844,12.15544,1
-81.83643,12.19953,1
-81.85259,12.1613,1
-81.86139,12.19583,1
-81.84806,12.14194,1
-81.83389,12.13722,1
-81.87111,12.15416,1
-81.84648,12.16297,1
-81.83694,12.14361,1
-81.87111,12.17361,1
-81.88333,12.18388,1
-81.85084,12.19444,1
-81.85861,12.14444,1
-81.83194,12.17555,1
-81.84251,12.16514,1
-81.82613,12.164968,1
-81.84763,12.18074,1
-81.84489,12.17144,1
-81.84412,12.15961,1
-81.88745,12.17944,1
-81.866,12.17306,1
-81.87111,12.15463,1
-81.81825,12.1453,1
-79.72385,15.88571,1
-80.36544,14.31107,1
-80.27538,14.3648,1
-80.36983,14.28983,1
-80.23946,14.399,1
-96.986222,20.760722,1
-97.275194,21.540389,1
-96.989028,20.764778,1
-96.99625,20.769194,1
-96.995778,20.767,1
-96.989028,20.758722,1
-96.98925,20.759056,1
-96.989194,20.765056,1
-96.988361,20.760778,1
-94.80875,18.540056,1
-94.525444,18.175306,1
-94.524667,18.175028,1
-94.782167,18.511167,1
-94.524861,18.17525,1
-94.786889,18.515806,1
-94.525583,18.17625,1
-94.525694,18.176361,1
-94.525694,18.176361,1
-94.524,18.174611,1
-94.786028,18.515778,1
-94.52575,18.176306,1
-94.782167,18.511167,1
-94.524917,18.175306,1
-94.808361,18.539778,1
-94.525305,18.1755,1
-94.524917,18.175417,1
-94.525639,18.175861,1
-94.524028,18.174694,1
-94.525222,18.175056,1
-94.524917,18.175111,1
-94.786889,18.515806,1
-94.523972,18.174778,1
-94.525917,18.17575,1
-94.786889,18.515806,1
-94.523861,18.174611,1
-94.52575,18.17625,1
-94.524917,18.175722,1
-94.775861,18.487056,1
-94.777639,18.487361,1
-94.827167,18.544194,1
-94.780472,18.501278,1
-94.876555,18.551417,1
-94.780417,18.501778,1
-94.872139,18.550861,1
-94.777417,18.48775,1
-94.777833,18.489278,1
-94.777639,18.487361,1
-94.780555,18.500944,1
-94.777805,18.488306,1
-94.775583,18.487139,1
-94.780583,18.500278,1
-94.775528,18.486972,1
-94.777861,18.487889,1
-94.777833,18.489278,1
-94.777805,18.488306,1
-94.777639,18.487361,1
-94.777389,18.490667,1
-94.778778,18.49725,1
-94.775528,18.486972,1
-94.876111,18.551111,1
-94.775833,18.486861,1
-94.826778,18.544111,1
-94.778417,18.497056,1
-94.777528,18.488639,1
-94.777861,18.487889,1
-94.777389,18.490667,1
-94.780417,18.501778,1
-94.775528,18.486972,1
-94.777861,18.487889,1
-94.77825,18.496806,1
-94.780555,18.500944,1
-94.77825,18.496806,1
-94.777139,18.489333,1
-94.780417,18.501778,1
-94.7755,18.487333,1
-94.780472,18.501278,1
-94.777639,18.487361,1
-94.778055,18.496083,1
-94.780555,18.500944,1
-94.777639,18.487361,1
-94.778055,18.496083,1
-94.827583,18.543861,1
-94.777139,18.489333,1
-94.782139,18.510611,1
-94.778055,18.496083,1
-94.780583,18.500278,1
-94.826778,18.544111,1
-94.780583,18.500278,1
-94.778055,18.496083,1
-94.778278,18.496417,1
-94.872389,18.551139,1
-94.780583,18.500278,1
-94.775833,18.486861,1
-94.778055,18.496083,1
-94.780555,18.500944,1
-94.778055,18.496083,1
-94.778278,18.496417,1
-94.872639,18.551,1
-94.777639,18.487361,1
-94.775917,18.486972,1
-94.781028,18.501778,1
-94.7755,18.487333,1
-94.775833,18.486861,1
-94.778278,18.496417,1
-94.872139,18.550861,1
-94.780472,18.501278,1
-94.777805,18.488306,1
-94.780639,18.502111,1
-94.876833,18.551417,1
-94.872639,18.551,1
-94.780472,18.501278,1
-94.775583,18.487139,1
-94.777139,18.489333,1
-94.777861,18.487889,1
-94.778055,18.496083,1
-94.777639,18.487361,1
-94.778278,18.496417,1
-94.775722,18.487194,1
-94.77825,18.496806,1
-94.778055,18.496083,1
-94.827583,18.543861,1
-94.780417,18.501778,1
-94.775833,18.486861,1
-94.872389,18.551139,1
-94.778417,18.497056,1
-94.778055,18.496083,1
-94.775833,18.486861,1
-94.780472,18.501278,1
-94.780389,18.500611,1
-94.778055,18.496083,1
-94.780555,18.500944,1
-94.780472,18.501278,1
-94.78225,18.510417,1
-94.876111,18.551111,1
-94.827167,18.544194,1
-94.775833,18.486861,1
-94.780583,18.500278,1
-94.876611,18.551194,1
-97.228722,21.474,1
-97.228722,21.474,1
-66.30515,10.6309,1
-66.18254,10.6192,1
