"species","decimalLongitude","decimalLatitude","countryCode","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","datasetName","occurrenceStatus"
"Siderastrea radians",-74.23642,11.21005,"CO",NA,"2147524102","Siderastreidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","MoAm SAS","CORPAMAG-MOAM-CONTRATO260-2017-ARRECIFES-PASTOS-2018","PRESENT"
"Siderastrea radians",-74.20697,11.27335,"CO",NA,"2147524108","Siderastreidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","MoAm SAS","CORPAMAG-MOAM-CONTRATO260-2017-ARRECIFES-PASTOS-2018","PRESENT"
"Siderastrea radians",-74.23642,11.21005,"CO",NA,"2147524257","Siderastreidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","MoAm SAS","CORPAMAG-MOAM-CONTRATO260-2017-ARRECIFES-PASTOS-2018","PRESENT"
"Siderastrea radians",-74.20697,11.27335,"CO",NA,"2147524345","Siderastreidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","MoAm SAS","CORPAMAG-MOAM-CONTRATO260-2017-ARRECIFES-PASTOS-2018","PRESENT"
"Siderastrea radians",-81.895997,12.164968,"CO",2,"2294350434","Siderastreidae","SPECIES",3,2018,"MACHINE_OBSERVATION","Universidad Nacional de Colombia (UNAL)",NA,"PRESENT"
"Siderastrea radians",-81.871106,12.13791,"CO",1,"2294350450","Siderastreidae","SPECIES",3,2018,"MACHINE_OBSERVATION","Universidad Nacional de Colombia (UNAL)",NA,"PRESENT"
"Siderastrea radians",-81.84844,12.15544,"CO",2,"2294350458","Siderastreidae","SPECIES",3,2018,"MACHINE_OBSERVATION","Universidad Nacional de Colombia (UNAL)",NA,"PRESENT"
"Siderastrea radians",-81.83643,12.19953,"CO",1,"2294350476","Siderastreidae","SPECIES",3,2018,"MACHINE_OBSERVATION","Universidad Nacional de Colombia (UNAL)",NA,"PRESENT"
"Siderastrea radians",-81.85259,12.1613,"CO",2,"2294350612","Siderastreidae","SPECIES",3,2018,"MACHINE_OBSERVATION","Universidad Nacional de Colombia (UNAL)",NA,"PRESENT"
"Siderastrea radians",-81.86139,12.19583,"CO",NA,"2418072989","Siderastreidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","Pontificia Universidad Javeriana Cali (PUJC)",NA,"PRESENT"
"Siderastrea radians",-81.84806,12.14194,"CO",NA,"2418073009","Siderastreidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","Pontificia Universidad Javeriana Cali (PUJC)",NA,"PRESENT"
"Siderastrea radians",-81.83389,12.13722,"CO",NA,"2418073055","Siderastreidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","Pontificia Universidad Javeriana Cali (PUJC)",NA,"PRESENT"
"Siderastrea radians",-81.87111,12.15416,"CO",NA,"2418073070","Siderastreidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","Pontificia Universidad Javeriana Cali (PUJC)",NA,"PRESENT"
"Siderastrea radians",-81.84648,12.16297,"CO",NA,"2418073082","Siderastreidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","Pontificia Universidad Javeriana Cali (PUJC)",NA,"PRESENT"
"Siderastrea radians",-81.83694,12.14361,"CO",NA,"2418073083","Siderastreidae","SPECIES",NA,2018,"HUMAN_OBSERVATION","Pontificia Universidad Javeriana Cali (PUJC)",NA,"PRESENT"
