"decimalLongitude","decimalLatitude","Siderastrea"
-79.0006027222,20.840215683,"1"
-81.5879974365,24.5514507294,"1"
-81.585899353,21.5856494904,"1"
-79.01875305,9.509349823,"1"
-67.022857666,17.9214305878,"1"
-81.2915496826,19.3803005219,"1"
-78.5966339111,20.626832962,"1"
-64.6327972412,17.7929992676,"1"
-64.6847229004,18.3539390564,"1"
-66.9998016357,17.9066104889,"1"
-81.4776535034,22.1539993286,"1"
-67.013671875,17.9505901337,"1"
-64.6758270264,18.3239307404,"1"
-64.6297988892,17.7919197083,"1"
-82.8053359985,9.72500038147,"1"
-78.90266418,9.544850349,"1"
-64.6996231079,18.31524086,"1"
-78.67510223,9.594666481,"1"
-88.1699981689,16.7099990845,"1"
-81.6735153198,21.5734004974,"1"
-64.6218338013,17.7899608612,"1"
-77.6478805542,24.3012199402,"1"
-76.4569320679,18.1911506653,"1"
-64.7340316772,18.3703193665,"1"
-64.7386016846,18.3726005554,"1"
-38.6556663513,-17.968000412,"1"
-81.585899353,21.5856494904,"1"
-80.0898208618,26.1514701843,"1"
-64.600112915,17.7895698547,"1"
-80.4755554199,23.2199993134,"1"
-81.2466812134,19.3586330414,"1"
-64.7686233521,18.3614292145,"1"
-77.6706771851,24.3431491852,"1"
-81.4051513672,24.5460739136,"1"
-80.0696868896,19.6943492889,"1"
-64.6131973267,17.8009204865,"1"
-64.5652236938,17.7712192535,"1"
-79.6458816528,21.4543170929,"1"
-64.5674972534,17.7808494568,"1"
-72.2242660522,21.489282608,"1"
-88.1699981689,16.7099990845,"1"
-82.7336120605,26.2802791595,"1"
-64.6225280762,17.8061103821,"1"
-79.1988677979,20.9659996033,"1"
-65.5330200195,18.3421497345,"1"
-80.0783309937,19.6849327087,"1"
-64.5704879761,17.7889900208,"1"
-67.0883636475,17.9338703156,"1"
-82.1027832,9.286999702,"1"
-80.16456604,25.3888664246,"1"
-79.0187530518,9.509349823,"1"
-96.1269454956,19.231388092,"1"
-79.9578323364,19.7141170502,"1"
-64.7147827148,18.3074893951,"1"
-77.6910018921,24.6306667328,"1"
-80.1684341431,25.4641838074,"1"
-78.8728866577,9.56938362122,"1"
-81.513168335,22.1587657928,"1"
-79.0187530518,9.509349823,"1"
-77.5611190796,18.4949836731,"1"
-71.5991516113,21.3726501465,"1"
-82.9693984985,12.2915296555,"1"
-80.9594421387,23.2997226715,"1"
-64.6187973022,17.7626800537,"1"
-67.050743103,17.9117603302,"1"
-67.0156936646,17.9006690979,"1"
-71.5991516113,21.3726501465,"1"
-64.564956665,17.7570304871,"1"
-96.1269454956,19.231388092,"1"
-64.7664108276,18.3603992462,"1"
-64.7629470825,18.3157672882,"1"
-71.1339492798,21.5189838409,"1"
-80.0689468384,19.693983078,"1"
-64.6644134521,17.7708206177,"1"
-67.0045471191,17.9066295624,"1"
-64.7629470825,18.3157672882,"1"
-81.0779342651,19.3439006805,"1"
-82.1558303833,25.7655601501,"1"
-79.0952835083,20.8982162476,"1"
-81.9271697998,21.5957832336,"1"
-80.2592010498,25.2358665466,"1"
-79.03623199,9.503700256,"1"
-81.5879974365,24.5514507294,"1"
-64.5823516846,18.4746170044,"1"
-87.9599990845,17.8899993896,"1"
-64.6003723145,17.8012599945,"1"
-64.7731399536,18.3526592255,"1"
-67.0049972534,17.9491195679,"1"
-77.3212661743,18.4701328278,"1"
-77.2747344971,18.4727668762,"1"
-77.4168014526,23.7803001404,"1"
-81.0779342651,19.3439006805,"1"
-87.9400024414,17.9200000763,"1"
-67.044128418,17.9239807129,"1"
-78.81625366,9.482766151,"1"
-64.6253967285,17.7944297791,"1"
-64.568107605,17.7720508575,"1"
-82.1408309937,26.0530605316,"1"
-78.9567642212,20.7984008789,"1"
-67.0272827148,17.930639267,"1"
-87.5927200317,17.1718673706,"1"
-79.0006027222,20.840215683,"1"
-72.1166687012,21.8833332062,"1"
-78.109664917,20.5849990845,"1"
-80.1684341431,25.4641838074,"1"
-64.6535873413,17.77368927,"1"
-64.2386703491,18.5640163422,"1"
-63.2280006409,17.6496658325,"1"
-81.2011489868,19.2917823792,"1"
-66.9329528809,17.9186592102,"1"
-87.626663208,18.8930549622,"1"
-67.0112915039,17.9343605042,"1"
-62.9781684875,17.4634990692,"1"
-82.0800018311,9.19416618347,"1"
-87.9400024414,17.9200000763,"1"
-87.9400024414,17.9200000763,"1"
-62.986000061,17.4648342133,"1"
-78.88445282,9.58801651,"1"
-81.6735153198,21.5734004974,"1"
-78.8781662,9.488516808,"1"
-79.4222869873,21.0644664764,"1"
-64.6334381104,17.8026695251,"1"
-77.3581314087,18.4630508423,"1"
-78.9124832153,9.53880023956,"1"
-65.2322845459,18.3150005341,"1"
-71.9819869995,12.1881713867,"1"
-64.5794296265,17.77602005,"1"
-64.6094284058,17.786939621,"1"
-66.9854888916,17.9084205627,"1"
-79.9820175171,19.7166004181,"1"
-62.9781684875,17.4634990692,"1"
-82.805336,9.725000381,"1"
-72.143951416,21.3880825043,"1"
-67.0552062988,17.9210796356,"1"
-64.6781082153,18.3329296112,"1"
-81.393081665,24.5645999908,"1"
-66.9991607666,17.8884391785,"1"
-80.4151153564,24.9860496521,"1"
-71.1548995972,21.4407157898,"1"
-67.0128097534,17.9182796478,"1"
-67.1104736328,17.9377708435,"1"
-81.3970184326,21.8850841522,"1"
-77.6910018921,24.6259994507,"1"
-82.3745651245,21.5259494781,"1"
-77.498550415,18.4827327728,"1"
-64.5857696533,17.7832508087,"1"
-66.9786529541,17.931350708,"1"
-63.2594985962,17.6281661987,"1"
-72.2242660522,21.489282608,"1"
-67.009727478,17.9265804291,"1"
-80.9644317627,24.6855831146,"1"
-68.3266677856,12.1658334732,"1"
-88.0800018311,16.7800006866,"1"
-93.6013183594,27.9063606262,"1"
-64.9271697998,18.3286323547,"1"
-80.5014190674,24.9498996735,"1"
-93.8143920898,27.8750495911,"1"
-81.1053009033,19.2927494049,"1"
-96.1269454956,19.231388092,"1"
-82.9141082764,24.6340007782,"1"
-81.1936035156,24.6051673889,"1"
-82.702796936,21.4773330688,"1"
-77.4190216064,23.778219223,"1"
-81.7023162842,24.4993839264,"1"
-64.6914978027,17.7686328888,"1"
-80.6165847778,24.9044837952,"1"
-78.90266418,9.544850349,"1"
-76.6897964478,18.2696342468,"1"
-79.1187667847,20.9097824097,"1"
-66.962272644,17.8993091583,"1"
-64.7786331177,18.3589000702,"1"
-78.0753479004,18.4590835571,"1"
-65.33253479,18.3286495209,"1"
-87.8333282471,18.2333335876,"1"
-64.6123199463,17.8019695282,"1"
-79.6458816528,21.4543170929,"1"
-64.5796585083,17.7831306458,"1"
-69.1582794189,12.3753614426,"1"
-81.3954315186,19.3652839661,"1"
-82.9693984985,12.2954597473,"1"
-78.9567642212,20.7984008789,"1"
-87.9599990845,17.8899993896,"1"
-82.9693984985,12.2954597473,"1"
-79.0006027222,20.840215683,"1"
-64.610206604,17.7871608734,"1"
-62.9776649475,17.4624996185,"1"
-81.0202865601,24.6933670044,"1"
-78.87049866,9.574983597,"1"
-64.5911483765,17.7894096375,"1"
-81.3300323486,21.8624668121,"1"
-79.0952835083,20.8982162476,"1"
-67.0366592407,17.9376106262,"1"
-64.565788269,17.7725391388,"1"
-64.6275024414,17.7961406708,"1"
-64.5670776367,17.7725391388,"1"
-77.6820678711,24.5402202606,"1"
-64.6253967285,17.7944297791,"1"
-64.6404724121,17.7597808838,"1"
-67.0516662598,17.9400005341,"1"
-67.0245132446,17.8893795013,"1"
-88.1699981689,16.7099990845,"1"
-74.5400009155,24.0400009155,"1"
-64.5789031982,17.7644691467,"1"
-78.444442749,22.5636119843,"1"
-65.3354492188,18.3124656677,"1"
-79.2900009155,21.0898170471,"1"
-81.3458023071,24.5611991882,"1"
-64.6221237183,17.8052196503,"1"
-67.0215911865,17.8874397278,"1"
-67.0802307129,17.9136791229,"1"
-64.6348114014,17.7679405212,"1"
-74.5299987793,24.0100002289,"1"
-79.0362319946,9.50370025635,"1"
-64.7410202026,18.3081703186,"1"
-81.2495651245,21.8379325867,"1"
-78.4653320312,20.5869674683,"1"
-78.8858642578,20.771232605,"1"
-87.5927200317,17.1718673706,"1"
-64.9907302856,18.3178672791,"1"
-64.6263809204,17.806470871,"1"
-77.6477966309,24.3011207581,"1"
-81.4967193604,22.1162662506,"1"
-64.6701431274,17.7761592865,"1"
-82.6994400024,24.6027793884,"1"
-82.8734664917,24.6658000946,"1"
-93.5967178345,27.9067592621,"1"
-67.028793335,17.8993606567,"1"
-87.8190307617,18.2574996948,"1"
-96.1269454956,19.231388092,"1"
-64.60912323,17.7874603271,"1"
-67.0081176758,17.9063892365,"1"
-82.9517822266,24.6091308594,"1"
-96.1269454956,19.231388092,"1"
-82.2927703857,21.5486335754,"1"
-64.6866226196,18.3165893555,"1"
-67.0345916748,17.9299297333,"1"
-87.9400024414,17.9400005341,"1"
-69.1582794189,12.3753614426,"1"
-79.0187530518,9.509349823,"1"
-76.7086868286,18.2745342255,"1"
-64.618888855,17.7893505096,"1"
-72.173248291,21.8301506042,"1"
-79.2188644409,20.9701156616,"1"
-87.9400024414,17.9200000763,"1"
-76.9884643555,26.3977832794,"1"
-64.7640838623,18.3141670227,"1"
-64.6336364746,17.76404953,"1"
-79.03623199,9.503700256,"1"
-87.8470535278,16.7112159729,"1"
-83.0335006714,12.0301198959,"1"
-64.9895172119,18.3736839294,"1"
-78.8799819946,9.58399963379,"1"
-88.1600036621,16.7700004578,"1"
-77.9709472656,18.4534492493,"1"
-79.4105148315,21.0673160553,"1"
-78.311630249,18.3802509308,"1"
-78.0753479004,18.4590835571,"1"
-79.8828201294,19.6807327271,"1"
-64.5857162476,17.7849903107,"1"
-78.7574996948,20.6850833893,"1"
-64.620880127,17.7827396393,"1"
-64.6311035156,17.8050193787,"1"
-63.2594985962,17.6281661987,"1"
-71.1136322021,21.4589004517,"1"
-66.9950790405,17.8894500732,"1"
-87.7055587769,18.7083339691,"1"
-77.6910018921,24.6306705475,"1"
-78.8844528198,9.58801651001,"1"
-82.2927703857,21.5486335754,"1"
-38.988333,-18.020278,"1"
-64.6966400146,18.3186206818,"1"
-77.7846679688,24.7450008392,"1"
-82.3745651245,21.5259494781,"1"
-88.1600036621,16.7700004578,"1"
-88.0599975586,16.8099994659,"1"
-82.8058319092,9.75,"1"
-64.618637085,17.7954292297,"1"
-72.4701843262,21.6648330688,"1"
-72.143951416,21.3880825043,"1"
-79.4222869873,21.0644664764,"1"
-78.94436646,9.553649902,"1"
-79.2900009155,21.0898170471,"1"
-77.0384979248,26.6371498108,"1"
-78.8704986572,9.5749835968,"1"
-64.6178665161,17.7907505035,"1"
-77.4638900757,21.8458328247,"1"
-64.5697097778,17.7941703796,"1"
-96.1269454956,19.231388092,"1"
-80.8599472046,24.7235507965,"1"
-38.601389,-17.721389,"1"
-81.5006027222,22.1468830109,"1"
-76.7086868286,18.2745342255,"1"
-72.4745483398,21.6456508636,"1"
-82.80583191,9.75,"1"
-66.9424362183,17.9155197144,"1"
-82.3745651245,21.5259494781,"1"
-83.0346984863,12.1885700226,"1"
-64.5725021362,17.7777004242,"1"
-65.3268356323,18.2963829041,"1"
-66.7577819824,17.9666690826,"1"
-78.9626998901,9.49219989777,"1"
-82.1138534546,9.23499965668,"1"
-87.2991027832,20.4076499939,"1"
-64.5854568481,17.791759491,"1"
-64.6386032104,17.801700592,"1"
-65.2322845459,18.3150005341,"1"
-82.7786331177,21.448633194,"1"
-67.0112686157,17.9013004303,"1"
-78.0028991699,25.1601009369,"1"
-82.11105347,9.235666275,"1"
-77.6706771851,24.3431491852,"1"
-64.5761871338,17.7932395935,"1"
-72.1835021973,21.8180007935,"1"
-81.393081665,24.5645999908,"1"
-64.9907302856,18.3178672791,"1"
-38.966389,-17.682222,"1"
-80.0432510376,19.6692504883,"1"
-78.92376709,9.472599983,"1"
-78.81625366,9.482766151,"1"
-79.0300140381,20.8479995728,"1"
-64.7634658813,18.3178825378,"1"
-81.5103530884,22.0208835602,"1"
-65.2322845459,18.3150005341,"1"
-79.0187530518,9.509349823,"1"
-87.3029785156,20.4021892548,"1"
-67.1006088257,17.92993927,"1"
-78.1318817139,18.4641666412,"1"
-87.9400024414,17.9200000763,"1"
-84.5137176514,21.8094329834,"1"
-77.0393295288,26.6399993896,"1"
-64.9907302856,18.3178672791,"1"
-66.9914398193,17.937789917,"1"
-77.7786331177,24.74518013,"1"
-80.0966644287,25.5902671814,"1"
-64.726600647,18.3138504028,"1"
-77.6477966309,24.3011207581,"1"
-78.7574996948,20.6850833893,"1"
-82.9693984985,12.2954597473,"1"
-64.6630630493,17.7774505615,"1"
-64.6314620972,17.7866706848,"1"
-80.16456604,25.3888664246,"1"
-64.6167297363,17.8007698059,"1"
-82.07558441,9.168549538,"1"
-63.2280006409,17.6496658325,"1"
-78.8728866577,9.56938362122,"1"
-64.7634658813,18.3178825378,"1"
-64.6112136841,17.790599823,"1"
-77.7786331177,24.74518013,"1"
-65.2284851074,18.2990665436,"1"
-77.6706771851,24.3431491852,"1"
-81.4165344238,19.385433197,"1"
-67.0146636963,17.9165401459,"1"
-82.868888855,25.2883300781,"1"
-67.0813903809,17.9188995361,"1"
-64.6254196167,17.8049697876,"1"
-78.9026641846,9.54485034943,"1"
-80.089012146,26.1782894135,"1"
-64.6297531128,17.7657699585,"1"
-81.6735153198,21.5734004974,"1"
-71.4558029175,21.5460338593,"1"
-64.6860961914,18.3180408478,"1"
-79.0362319946,9.50370025635,"1"
-65.2284851074,18.2990665436,"1"
-80.5483322144,24.9316692352,"1"
-77.0393295288,26.6399993896,"1"
-78.9567642212,20.7984008789,"1"
-72.143951416,21.3880825043,"1"
-67.0883636475,17.9338703156,"1"
-38.8956666667,-3.50543333333,"1"
-67.0901794434,17.9055805206,"1"
-82.7786331177,21.448633194,"1"
-81.6735153198,21.5734004974,"1"
-80.5483322144,24.9316692352,"1"
-82.1027832031,9.28699970245,"1"
-63.2594985962,17.6248340607,"1"
-66.9912261963,17.8928508759,"1"
-81.393081665,24.5645999908,"1"
-80.0432510376,19.6692504883,"1"
-64.624206543,17.8081092834,"1"
-67.083946228,17.9045906067,"1"
-67.0083618164,17.9034500122,"1"
-62.9776649475,17.4616661072,"1"
-76.2873687744,18.0738334656,"1"
-80.0082473755,19.7078342438,"1"
-64.7547836304,18.3603000641,"1"
-78.73131561,9.457433701,"1"
-82.1138534546,9.23499965668,"1"
-78.5904693604,9.474650383,"1"
-64.9907302856,18.3178672791,"1"
-82.7029190063,21.4814167023,"1"
-66.295211792,17.9340305328,"1"
-80.16456604,25.3888664246,"1"
-78.96269989,9.492199898,"1"
-87.9499969482,17.9200000763,"1"
-67.0009765625,17.9361305237,"1"
-87.3307647705,18.7670001984,"1"
-80.7284164429,24.8375339508,"1"
-81.4835968018,22.1089839935,"1"
