"","rand1","rand2","rand3","rand4","rand5","rand6","rand7","rand8","rand9","rand10","rand11","rand12","rand13","rand14","rand15","rand16","rand17","rand18","rand19","rand20","rand21","rand22","rand23","rand24","rand25"
"BO_calcite",0.022,0.023,0.022,0.02,0.022,0.022,0.021,0.023,0.022,0.024,0.022,0.024,0.021,0.026,0.021,0.024,0.023,0.024,0.023,0.025,0.021,0.025,0.025,0.021,0.021
"BO21_chlomax_ss",0.202,0.206,0.215,0.229,0.231,0.219,0.214,0.21,0.231,0.21,0.222,0.214,0.222,0.214,0.211,0.211,0.205,0.212,0.217,0.21,0.211,0.225,0.2,0.211,0.218
"BO_cloudmax",0.025,0.025,0.029,0.025,0.026,0.025,0.026,0.024,0.026,0.025,0.026,0.024,0.024,0.025,0.026,0.025,0.023,0.022,0.028,0.024,0.027,0.024,0.026,0.026,0.022
"BO21_nitratemean_ss",0.1,0.099,0.093,0.1,0.091,0.112,0.092,0.098,0.095,0.1,0.102,0.102,0.101,0.093,0.107,0.1,0.104,0.096,0.101,0.108,0.105,0.103,0.1,0.102,0.093
"BO_ph",0.103,0.107,0.106,0.11,0.101,0.105,0.104,0.11,0.097,0.104,0.105,0.097,0.107,0.112,0.107,0.103,0.103,0.106,0.105,0.11,0.098,0.109,0.106,0.101,0.105
"BO21_phosphatemax_ss",0.076,0.072,0.077,0.077,0.07,0.075,0.077,0.081,0.073,0.0669999999999999,0.069,0.0669999999999999,0.071,0.08,0.072,0.084,0.069,0.078,0.075,0.074,0.07,0.075,0.074,0.073,0.0639999999999999
"BO21_salinitymean_ss",0.056,0.051,0.056,0.055,0.054,0.0590000000000001,0.051,0.051,0.0570000000000001,0.054,0.0570000000000001,0.052,0.047,0.055,0.053,0.053,0.055,0.05,0.0570000000000001,0.054,0.054,0.056,0.052,0.056,0.051
"BO21_silicatemean_ss",0.0600000000000001,0.0669999999999999,0.0639999999999999,0.0659999999999999,0.0629999999999999,0.0659999999999999,0.074,0.0669999999999999,0.0639999999999999,0.071,0.0649999999999999,0.0669999999999999,0.0649999999999999,0.0620000000000001,0.071,0.0669999999999999,0.0570000000000001,0.0659999999999999,0.0649999999999999,0.0679999999999999,0.0629999999999999,0.0669999999999999,0.0600000000000001,0.0610000000000001,0.071
"BO21_tempmax_ss",0.148,0.15,0.154,0.151,0.164,0.144,0.161,0.145,0.149,0.16,0.152,0.149,0.164,0.157,0.161,0.153,0.154,0.147,0.151,0.147,0.163,0.16,0.16,0.145,0.143
"BO21_curvelmean_ss",0.019,0.016,0.019,0.019,0.019,0.019,0.02,0.019,0.02,0.019,0.018,0.017,0.02,0.019,0.018,0.019,0.018,0.019,0.02,0.02,0.02,0.019,0.02,0.017,0.018
"CO_windspeed",0.024,0.027,0.026,0.025,0.025,0.025,0.025,0.025,0.027,0.025,0.022,0.022,0.026,0.025,0.023,0.024,0.024,0.026,0.026,0.027,0.025,0.028,0.025,0.022,0.025
"bath_2_200",0.053,0.048,0.043,0.044,0.045,0.048,0.044,0.049,0.046,0.039,0.046,0.044,0.049,0.045,0.047,0.047,0.048,0.049,0.044,0.046,0.045,0.041,0.045,0.043,0.048
