"","RF.RUN1.PA1","GBM.RUN1.PA1","GLM.RUN1.PA1","GAM.RUN1.PA1","RF.RUN2.PA1","GBM.RUN2.PA1","GLM.RUN2.PA1","GAM.RUN2.PA1","RF.RUN3.PA1","GBM.RUN3.PA1","GLM.RUN3.PA1","GAM.RUN3.PA1","RF.RUN4.PA1","GBM.RUN4.PA1","GLM.RUN4.PA1","GAM.RUN4.PA1","RF.RUN5.PA1","GBM.RUN5.PA1","GLM.RUN5.PA1","GAM.RUN5.PA1","RF.RUN6.PA1","GBM.RUN6.PA1","GLM.RUN6.PA1","GAM.RUN6.PA1"
"BO_calcite",0.013,0.008,0.042,0.114,0.019,0.021,0.027,0.086,0.009,0.005,0.075,0.099,0.01,0.008,0.062,0.097,0.009,0.005,0.042,0.13,0.011,0.007,0.036,0.086
"BO21_chlomax_ss",0.222,0.479,0.249,0.571,0.166,0.386,0.235,0.508,0.21,0.409,0.415,0.543,0.175,0.312,0.195,0.353,0.182,0.321,0.153,0.472,0.163,0.325,0.203,0.505
"BO_cloudmax",0.003,0,0.108,0.132,0.005,0.053,0.041,0.135,0.004,0.003,0.264,0.07,0.004,0.002,0.034,0.102,0.009,0.006,0.011,0.095,0.004,0.002,0.04,0.108
"BO21_nitratemean_ss",0.037,0.087,0.275,0.284,0.029,0.05,0.277,0.228,0.047,0.117,0.094,0.301,0.04,0.041,0.264,0.257,0.039,0.072,0.292,0.305,0.045,0.08,0.291,0.234
"BO_ph",0.007,0.009,0.163,0.339,0.006,0.016,0.201,0.329,0.005,0.042,0.118,0.268,0.008,0.049,0.249,0.328,0.006,0.052,0.197,0.328,0.006,0.044,0.217,0.332
"BO21_phosphatemax_ss",0.035,0.003,0.203,0.197,0.029,0.002,0.262,0.271,0.052,0.04,0.447,0.202,0.058,0.027,0.421,0.543,0.045,0.021,0.322,0.276,0.043,0.021,0.312,0.192
"BO21_salinitymean_ss",0.033,0.027,0.1,0.102,0.059,0.039,0.086,0.32,0.033,0.001,0.232,0.148,0.06,0.039,0,0.311,0.052,0.037,0.069,0.428,0.052,0.025,0.079,0.223
"BO21_silicatemean_ss",0.031,0.045,0.148,0.286,0.044,0.069,0.184,0.31,0.02,0.034,0.163,0.23,0.029,0.038,0.306,0.308,0.028,0.034,0.163,0.332,0.032,0.046,0.18,0.226
"BO21_tempmax_ss",0.086,0.117,0.51,0.495,0.089,0.266,0.404,0.479,0.046,0.105,0.298,0.239,0.059,0.151,0.388,0.377,0.077,0.218,0.384,0.377,0.072,0.181,0.371,0.322
"BO21_curvelmean_ss",0.004,0,0.033,0.165,0.006,0,0.014,0.153,0.009,0.003,0,0.168,0.004,0.002,0.031,0.087,0.004,0.001,0.037,0.164,0.006,0.001,0.023,0.102
"CO_windspeed",0.014,0.005,0.079,0.286,0.008,0.005,0.021,0.192,0.011,0.004,0,0.205,0.01,0.004,0,0.224,0.011,0.007,0.009,0.266,0.011,0.004,0.004,0.196
"bath_2_200",0.021,0.055,0.092,0.165,0.013,0.032,0.075,0.144,0.014,0.033,0.264,0.121,0.014,0.031,0.074,0.179,0.02,0.042,0.092,0.148,0.018,0.04,0.078,0.114
