"","rand1","rand2","rand3","rand4","rand5","rand6","rand7","rand8","rand9","rand10","rand11","rand12","rand13","rand14","rand15","rand16","rand17","rand18","rand19","rand20","rand21","rand22","rand23","rand24","rand25"
"BO_calcite",0.012,0.015,0.012,0.00900000000000001,0.012,0.014,0.00900000000000001,0.00900000000000001,0.00900000000000001,0.00800000000000001,0.011,0.012,0.016,0.021,0.00900000000000001,0.013,0.017,0.014,0.014,0.012,0.011,0.016,0.014,0.015,0.011
"BO21_chlomax_ss",0.024,0.031,0.032,0.028,0.022,0.03,0.025,0.031,0.024,0.031,0.028,0.026,0.029,0.027,0.039,0.026,0.029,0.028,0.028,0.025,0.032,0.026,0.031,0.023,0.029
"BO_cloudmax",0.00600000000000001,0.00700000000000001,0.00800000000000001,0.00600000000000001,0.005,0.00600000000000001,0.004,0.00800000000000001,0.00800000000000001,0.00800000000000001,0.00800000000000001,0.004,0.00700000000000001,0.00800000000000001,0.00600000000000001,0.00700000000000001,0.00800000000000001,0.00700000000000001,0.00600000000000001,0.00700000000000001,0.00700000000000001,0.00800000000000001,0.00700000000000001,0.00700000000000001,0.00600000000000001
"BO21_nitratemean_ss",0.077,0.079,0.079,0.08,0.078,0.072,0.0620000000000001,0.088,0.074,0.074,0.069,0.074,0.085,0.077,0.077,0.078,0.094,0.0669999999999999,0.0649999999999999,0.0679999999999999,0.076,0.0580000000000001,0.074,0.079,0.0629999999999999
"BO_ph",0.035,0.043,0.033,0.025,0.03,0.033,0.021,0.031,0.03,0.028,0.042,0.034,0.021,0.034,0.021,0.034,0.034,0.032,0.029,0.03,0.034,0.032,0.034,0.038,0.03
"BO21_phosphatemax_ss",0.01,0.01,0.00900000000000001,0.00900000000000001,0.00900000000000001,0.011,0.00800000000000001,0.011,0.011,0.011,0.01,0.012,0.013,0.012,0.00900000000000001,0.01,0.011,0.00900000000000001,0.01,0.012,0.014,0.013,0.012,0.00800000000000001,0.00900000000000001
"BO21_salinitymean_ss",0.404,0.441,0.458,0.514,0.515,0.494,0.49,0.544,0.45,0.472,0.567,0.53,0.55,0.469,0.502,0.456,0.484,0.483,0.53,0.452,0.546,0.518,0.484,0.505,0.494
"BO21_silicatemean_ss",0.03,0.036,0.035,0.04,0.035,0.034,0.032,0.03,0.036,0.035,0.03,0.028,0.033,0.044,0.036,0.033,0.036,0.029,0.03,0.035,0.032,0.037,0.032,0.033,0.035
"BO21_tempmax_ss",0.033,0.042,0.046,0.037,0.033,0.042,0.035,0.045,0.039,0.042,0.029,0.051,0.036,0.038,0.05,0.042,0.041,0.047,0.031,0.029,0.038,0.042,0.044,0.037,0.043
"BO21_curvelmean_ss",0.01,0.011,0.012,0.017,0.014,0.00800000000000001,0.013,0.01,0.011,0.01,0.011,0.01,0.012,0.00800000000000001,0.014,0.01,0.014,0.012,0.00900000000000001,0.013,0.013,0.015,0.01,0.015,0.011
"CO_windspeed",0.165,0.193,0.201,0.17,0.161,0.203,0.16,0.151,0.136,0.19,0.177,0.199,0.157,0.17,0.191,0.244,0.221,0.201,0.184,0.243,0.18,0.201,0.183,0.172,0.221
"bath_2_200",0.047,0.053,0.051,0.036,0.031,0.0580000000000001,0.047,0.0580000000000001,0.055,0.0580000000000001,0.0590000000000001,0.046,0.0610000000000001,0.045,0.034,0.052,0.039,0.047,0.028,0.053,0.0580000000000001,0.048,0.039,0.052,0.049
