"","RF.RUN1.PA1","GBM.RUN1.PA1","GLM.RUN1.PA1","GAM.RUN1.PA1","RF.RUN2.PA1","GBM.RUN2.PA1","GLM.RUN2.PA1","GAM.RUN2.PA1","RF.RUN3.PA1","GBM.RUN3.PA1","GLM.RUN3.PA1","GAM.RUN3.PA1","RF.RUN4.PA1","GBM.RUN4.PA1","GLM.RUN4.PA1","GAM.RUN4.PA1","RF.RUN5.PA1","GBM.RUN5.PA1","GLM.RUN5.PA1","GAM.RUN5.PA1","RF.RUN6.PA1","GBM.RUN6.PA1","GLM.RUN6.PA1","GAM.RUN6.PA1"
"BO_calcite",0.009,0.002,0.032,0.125,0.004,0.002,0.055,0.162,0.005,0.003,0.038,0.04,0.003,0,0,0.087,0.003,0.002,0.202,0.116,0.005,0.003,0.037,0.025
"BO21_chlomax_ss",0.004,0.002,0,0.179,0.025,0.013,0.182,0.372,0.004,0.003,0.192,0.239,0.005,0.005,0.233,0.136,0.01,0.018,0,0.102,0.009,0.006,0,0.311
"BO_cloudmax",0.004,0.004,0,0.085,0.003,0,0.105,0.148,0.003,0.003,0.056,0.065,0.002,0,0.065,0.12,0.003,0.001,0,0.169,0.003,0.002,0,0.042
"BO21_nitratemean_ss",0.018,0.001,0.264,0.353,0.01,0.001,0.395,0.654,0.02,0.002,0.312,0.211,0.003,0,0.448,0.237,0.009,0.001,0.097,0.346,0.014,0.001,0.275,0.425
"BO_ph",0.002,0.001,0.03,0.108,0.005,0.001,0,0.237,0.002,0.001,0.126,0.2,0.003,0.002,0.184,0.243,0.004,0.001,0.099,0.172,0.002,0.001,0.042,0.179
"BO21_phosphatemax_ss",0.002,0,0,0.008,0.005,0,0,0.602,0.002,0,0,0.625,0.001,0,0,0.386,0.002,0,0,0.604,0.001,0,0,0.133
"BO21_salinitymean_ss",0.129,0.547,0.523,0.705,0.061,0.267,0.67,0.644,0.105,0.445,0.446,0.08,0.156,0.33,0.688,0.495,0.085,0.284,0.425,0.212,0.142,0.444,0.492,0.733
"BO21_silicatemean_ss",0.017,0.003,0,0.185,0.016,0.019,0.298,0.257,0.013,0.003,0.311,0.297,0.012,0,0,0.235,0.01,0,0.283,0.581,0.012,0.002,0,0.416
"BO21_tempmax_ss",0.004,0.001,0,0.203,0.001,0,0.053,0.18,0.003,0.001,0,0.236,0.005,0,0,0.125,0.011,0.004,0.441,0.09,0.004,0,0.121,0.189
"BO21_curvelmean_ss",0.003,0.001,0,0.091,0.001,0,0,0.371,0.004,0.001,0,0.115,0.003,0.001,0,0.131,0.004,0.002,0,0.298,0.003,0.001,0,0.066
"CO_windspeed",0.085,0.048,0.113,0.291,0.102,0.13,0,0.163,0.103,0.051,0.452,0.312,0.159,0.284,0.496,0.344,0.115,0.162,0.281,0.589,0.105,0.087,0.188,0.318
"bath_2_200",0.033,0.06,0.149,0.276,0.015,0.023,0.145,0.075,0.031,0.055,0.054,0.069,0.019,0.02,0.082,0.236,0.011,0.014,0,0.124,0.03,0.042,0.088,0.026
