"","RF.RUN1.PA1","GBM.RUN1.PA1","GLM.RUN1.PA1","GAM.RUN1.PA1","RF.RUN2.PA1","GBM.RUN2.PA1","GLM.RUN2.PA1","GAM.RUN2.PA1","RF.RUN3.PA1","GBM.RUN3.PA1","GLM.RUN3.PA1","GAM.RUN3.PA1","RF.RUN4.PA1","GBM.RUN4.PA1","GLM.RUN4.PA1","GAM.RUN4.PA1","RF.RUN5.PA1","GBM.RUN5.PA1","GLM.RUN5.PA1","GAM.RUN5.PA1","RF.RUN6.PA1","GBM.RUN6.PA1","GLM.RUN6.PA1","GAM.RUN6.PA1"
"BO_calcite",0.009,0.003,0.048,0.12,0.018,0.018,0.018,0.129,0.019,0.052,0.068,0.207,0.017,0.01,0.053,0.124,0.02,0.005,0.046,0.074,0.018,0.011,0.049,0.182
"BO21_chlomax_ss",0.133,0.357,0.349,0.366,0.135,0.316,0.612,0.504,0.152,0.22,0.256,0.076,0.134,0.28,0.266,0.302,0.138,0.329,0.329,0.294,0.132,0.266,0.288,0.293
"BO_cloudmax",0.007,0.018,0.01,0.112,0.006,0.003,0.1,0.148,0.003,0,0.086,0.074,0.011,0.021,0.024,0.174,0.003,0.003,0.065,0.181,0.007,0.006,0.039,0.208
"BO21_nitratemean_ss",0.039,0.016,0.25,0.166,0.034,0.013,0.207,0.165,0.044,0.051,0.244,0.307,0.048,0.026,0.189,0.416,0.032,0.025,0.275,0.313,0.041,0.02,0.213,0.456
"BO_ph",0.007,0.093,0.266,0.306,0.006,0.058,0.142,0.367,0.007,0.054,0.282,0.407,0.006,0.029,0.22,0.304,0.002,0.045,0.26,0.319,0.005,0.061,0.249,0.411
"BO21_phosphatemax_ss",0.057,0.167,0.44,0.248,0.042,0.017,0.091,0.018,0.038,0.066,0.281,0.254,0.026,0.024,0.299,0.245,0.045,0.012,0.368,0.441,0.038,0.053,0.341,0.393
"BO21_salinitymean_ss",0.052,0.006,0.1,0.176,0.072,0.018,0.137,0.354,0.062,0.018,0.116,0.436,0.091,0.062,0.158,0.2,0.061,0.008,0,0.161,0.068,0.014,0.071,0.247
"BO21_silicatemean_ss",0.031,0.169,0.356,0.481,0.043,0.184,0.523,0.352,0.038,0.081,0.332,0.319,0.021,0.077,0.192,0.144,0.032,0.152,0.414,0.47,0.034,0.155,0.335,0.398
"BO21_tempmax_ss",0.091,0.065,0.335,0.513,0.088,0.123,0.502,0.394,0.06,0.125,0.479,0.495,0.064,0.056,0.356,0.532,0.081,0.125,0.372,0.521,0.075,0.118,0.373,0.555
"BO21_curvelmean_ss",0.009,0.001,0.002,0.086,0.015,0.004,0,0.236,0.018,0.004,0.005,0.25,0.015,0.006,0,0.237,0.011,0.003,0.01,0.291,0.013,0.003,0,0.352
"CO_windspeed",0.011,0.005,0.027,0.3,0.01,0.004,0,0.253,0.01,0.006,0.057,0.255,0.005,0.002,0,0.297,0.005,0.007,0.022,0.227,0.008,0.005,0.004,0.28
"bath_2_200",0.007,0.044,0.139,0.27,0.009,0.095,0.189,0.257,0.015,0.117,0.188,0.294,0.009,0.056,0.177,0.278,0.013,0.087,0.228,0.259,0.009,0.083,0.194,0.358
